"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Holstebro";16360;14328
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Ikast-Brande";12102;9943
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Lemvig";5447;4406
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Ringkøbing-Skjern";16425;13463
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Skive";12539;10200
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Struer";5477;4594
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Viborg";27160;23399
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Brønderslev";9879;8327
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Frederikshavn";14980;12635
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Hjørring";16884;14807
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Jammerbugt";10077;8773
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Læsø";417;368
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Mariagerfjord";11604;9599
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Morsø";5369;4351
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Rebild";8825;7409
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Thisted";11980;9867
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Vesthimmerlands";10075;8111
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Aalborg";61147;55019
"TOT Erhverv i alt";"2022";"Indpendling";"København";104716;99832
"TOT Erhverv i alt";"2022";"Indpendling";"Frederiksberg";15703;18302
"TOT Erhverv i alt";"2022";"Indpendling";"Dragør";870;764
"TOT Erhverv i alt";"2022";"Indpendling";"Tårnby";11970;7317
"TOT Erhverv i alt";"2022";"Indpendling";"Albertslund";12357;5864
"TOT Erhverv i alt";"2022";"Indpendling";"Ballerup";24405;17220
"TOT Erhverv i alt";"2022";"Indpendling";"Brøndby";15186;8251
"TOT Erhverv i alt";"2022";"Indpendling";"Gentofte";16419;17148
"TOT Erhverv i alt";"2022";"Indpendling";"Gladsaxe";21701;16331
"TOT Erhverv i alt";"2022";"Indpendling";"Glostrup";9861;8344
"TOT Erhverv i alt";"2022";"Indpendling";"Herlev";10286;10422
"TOT Erhverv i alt";"2022";"Indpendling";"Hvidovre";14640;9912
"TOT Erhverv i alt";"2022";"Indpendling";"Høje-Taastrup";18830;13021
"TOT Erhverv i alt";"2022";"Indpendling";"Ishøj";4796;2559
"TOT Erhverv i alt";"2022";"Indpendling";"Lyngby-Taarbæk";16033;13324
"TOT Erhverv i alt";"2022";"Indpendling";"Rødovre";7909;5391
"TOT Erhverv i alt";"2022";"Indpendling";"Vallensbæk";2242;2237
"TOT Erhverv i alt";"2022";"Indpendling";"Allerød";6765;4698
"TOT Erhverv i alt";"2022";"Indpendling";"Egedal";3879;3242
"TOT Erhverv i alt";"2022";"Indpendling";"Fredensborg";3781;4205
"TOT Erhverv i alt";"2022";"Indpendling";"Frederikssund";4209;2995
"TOT Erhverv i alt";"2022";"Indpendling";"Furesø";5176;4237
"TOT Erhverv i alt";"2022";"Indpendling";"Gribskov";2511;1936
"TOT Erhverv i alt";"2022";"Indpendling";"Halsnæs";1488;1340
"TOT Erhverv i alt";"2022";"Indpendling";"Helsingør";4547;4005
"TOT Erhverv i alt";"2022";"Indpendling";"Hillerød";11011;11375
"TOT Erhverv i alt";"2022";"Indpendling";"Hørsholm";3375;3517
"TOT Erhverv i alt";"2022";"Indpendling";"Rudersdal";10653;9531
"TOT Erhverv i alt";"2022";"Indpendling";"Bornholm";624;289
"TOT Erhverv i alt";"2022";"Indpendling";"Christiansø";1;2
"TOT Erhverv i alt";"2022";"Indpendling";"Greve";8061;4734
"TOT Erhverv i alt";"2022";"Indpendling";"Køge";10386;8105
"TOT Erhverv i alt";"2022";"Indpendling";"Lejre";2292;2261
"TOT Erhverv i alt";"2022";"Indpendling";"Roskilde";13840;12877
"TOT Erhverv i alt";"2022";"Indpendling";"Solrød";2091;1998
"TOT Erhverv i alt";"2022";"Indpendling";"Faxe";3553;2691
"TOT Erhverv i alt";"2022";"Indpendling";"Guldborgsund";2630;2509
"TOT Erhverv i alt";"2022";"Indpendling";"Holbæk";5636;5626
"TOT Erhverv i alt";"2022";"Indpendling";"Kalundborg";4149;2915
"TOT Erhverv i alt";"2022";"Indpendling";"Lolland";2256;1739
"TOT Erhverv i alt";"2022";"Indpendling";"Næstved";5011;4663
"TOT Erhverv i alt";"2022";"Indpendling";"Odsherred";1878;1691
"TOT Erhverv i alt";"2022";"Indpendling";"Ringsted";6167;4206
"TOT Erhverv i alt";"2022";"Indpendling";"Slagelse";6619;5744
"TOT Erhverv i alt";"2022";"Indpendling";"Sorø";3526;3105
"TOT Erhverv i alt";"2022";"Indpendling";"Stevns";1168;1007
"TOT Erhverv i alt";"2022";"Indpendling";"Vordingborg";2837;2594
"TOT Erhverv i alt";"2022";"Indpendling";"Assens";3331;2563
"TOT Erhverv i alt";"2022";"Indpendling";"Faaborg-Midtfyn";4192;3402
"TOT Erhverv i alt";"2022";"Indpendling";"Kerteminde";3259;1974
"TOT Erhverv i alt";"2022";"Indpendling";"Langeland";511;533
"TOT Erhverv i alt";"2022";"Indpendling";"Middelfart";5079;3951
"TOT Erhverv i alt";"2022";"Indpendling";"Nordfyns";2061;1545
"TOT Erhverv i alt";"2022";"Indpendling";"Nyborg";2157;2060
"TOT Erhverv i alt";"2022";"Indpendling";"Odense";21437;17412
"TOT Erhverv i alt";"2022";"Indpendling";"Svendborg";3305;3324
"TOT Erhverv i alt";"2022";"Indpendling";"Ærø";124;109
"TOT Erhverv i alt";"2022";"Indpendling";"Billund";6253;5198
"TOT Erhverv i alt";"2022";"Indpendling";"Esbjerg";9997;6281
"TOT Erhverv i alt";"2022";"Indpendling";"Fanø";137;246
"TOT Erhverv i alt";"2022";"Indpendling";"Fredericia";10280;5329
"TOT Erhverv i alt";"2022";"Indpendling";"Haderslev";4382;3189
"TOT Erhverv i alt";"2022";"Indpendling";"Kolding";14430;9958
"TOT Erhverv i alt";"2022";"Indpendling";"Sønderborg";2814;2120
"TOT Erhverv i alt";"2022";"Indpendling";"Tønder";1886;1916
"TOT Erhverv i alt";"2022";"Indpendling";"Varde";3924;2755
"TOT Erhverv i alt";"2022";"Indpendling";"Vejen";5186;3312
"TOT Erhverv i alt";"2022";"Indpendling";"Vejle";13386;10214
"TOT Erhverv i alt";"2022";"Indpendling";"Aabenraa";5616;4967
"TOT Erhverv i alt";"2022";"Indpendling";"Favrskov";6211;4717
"TOT Erhverv i alt";"2022";"Indpendling";"Hedensted";6505;3998
"TOT Erhverv i alt";"2022";"Indpendling";"Horsens";10357;7817
"TOT Erhverv i alt";"2022";"Indpendling";"Norddjurs";2151;1772
"TOT Erhverv i alt";"2022";"Indpendling";"Odder";1482;1341
"TOT Erhverv i alt";"2022";"Indpendling";"Randers";6796;5691
"TOT Erhverv i alt";"2022";"Indpendling";"Samsø";149;101
"TOT Erhverv i alt";"2022";"Indpendling";"Silkeborg";8458;5923
"TOT Erhverv i alt";"2022";"Indpendling";"Skanderborg";9162;6444
"TOT Erhverv i alt";"2022";"Indpendling";"Syddjurs";2670;2473
"TOT Erhverv i alt";"2022";"Indpendling";"Aarhus";43775;29968
"TOT Erhverv i alt";"2022";"Indpendling";"Herning";10830;9402
"TOT Erhverv i alt";"2022";"Indpendling";"Holstebro";5780;4191
"TOT Erhverv i alt";"2022";"Indpendling";"Ikast-Brande";7364;5542
"TOT Erhverv i alt";"2022";"Indpendling";"Lemvig";1119;915
"TOT Erhverv i alt";"2022";"Indpendling";"Ringkøbing-Skjern";5135;3237
"TOT Erhverv i alt";"2022";"Indpendling";"Skive";3974;2116
"TOT Erhverv i alt";"2022";"Indpendling";"Struer";1743;1459
"TOT Erhverv i alt";"2022";"Indpendling";"Viborg";9826;7237
"TOT Erhverv i alt";"2022";"Indpendling";"Brønderslev";2776;2699
"TOT Erhverv i alt";"2022";"Indpendling";"Frederikshavn";4303;2261
"TOT Erhverv i alt";"2022";"Indpendling";"Hjørring";4121;3935
"TOT Erhverv i alt";"2022";"Indpendling";"Jammerbugt";2393;2001
"TOT Erhverv i alt";"2022";"Indpendling";"Læsø";70;32
"TOT Erhverv i alt";"2022";"Indpendling";"Mariagerfjord";4980;3484
"TOT Erhverv i alt";"2022";"Indpendling";"Morsø";1570;1130
"TOT Erhverv i alt";"2022";"Indpendling";"Rebild";3653;2634
"TOT Erhverv i alt";"2022";"Indpendling";"Thisted";2068;1613
"TOT Erhverv i alt";"2022";"Indpendling";"Vesthimmerlands";3433;2404
"TOT Erhverv i alt";"2022";"Indpendling";"Aalborg";18313;12741
"TOT Erhverv i alt";"2022";"Udpendling";"København";78076;63814
"TOT Erhverv i alt";"2022";"Udpendling";"Frederiksberg";24036;24509
"TOT Erhverv i alt";"2022";"Udpendling";"Dragør";2924;2756
"TOT Erhverv i alt";"2022";"Udpendling";"Tårnby";7988;7677
"TOT Erhverv i alt";"2022";"Udpendling";"Albertslund";5402;4849
"TOT Erhverv i alt";"2022";"Udpendling";"Ballerup";9415;7958
"TOT Erhverv i alt";"2022";"Udpendling";"Brøndby";7432;6539
"TOT Erhverv i alt";"2022";"Udpendling";"Gentofte";14166;13622
"TOT Erhverv i alt";"2022";"Udpendling";"Gladsaxe";14597;12928
"TOT Erhverv i alt";"2022";"Udpendling";"Glostrup";5461;4603
"TOT Erhverv i alt";"2022";"Udpendling";"Herlev";6001;5260
