,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Ejerudgift,Elevator,Rooms,Build,Toilets,Altan,Terasse,Postal code,link,Grund,Toilet
"Ålborgvej 686,9760",2.895.000 kr.,Vrå undervisningssted,"3,58 km",Ikke oplyst,Ikke oplyst,Landejendom,Energimærke B,Lav,"26,21%",34‰.,"Der er 63.839 indbyggere i Hjørring Kommune. Kommuneskatten er på 26,21% og grundskyldspromillen på 34‰.",Til salg i alt: 339 dage,243 m²,Ejerudg.: 2.450 kr/md,,6 værelser,Opført 1850,2 toiletter,,,9760,https://www.boligsiden.dk/addresses/0a3f50c8-544e-32b8-e044-0003ba298018,Grund: 20005 m²,
"Rødebrovej 9,7600",2.775.000 kr.,Langhøjskolen,"2,64 km",6.9,3.8,Landejendom,Energimærke D,Lav,"25,3%","22,9‰.","Der er 20.802 indbyggere i Struer Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 22,9‰.",Til salg i alt: 48 dage,126 m²,Ejerudg.: 1.830 kr/md,,5 værelser,Opført 1910,1 toilet,,,7600,https://www.boligsiden.dk/addresses/0a3f50be-e355-32b8-e044-0003ba298018,Grund: 63886 m²,
"Skovgårdsvej 31,3200",6.495.000 kr.,Nordstjerneskolen,"1,27 km",6.8,3.6,Landejendom,Energimærke C,Lav,"25,4%","29,34‰.","Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",Til salg i alt: 48 dage,240 m²,Ejerudg.: 5.496 kr/md,,8 værelser,Opført 1928,2 toiletter,,,3200,https://www.boligsiden.dk/addresses/0a3f50a9-0eed-32b8-e044-0003ba298018,Grund: 62018 m²,
"Fænøsund Park 1, 3. 2.,5500",4.495.000 kr.,Vestre Skole,906 m,7.1,3.8,Ejerlejlighed,Energimærke B,Høj,"25,8%","21,29‰.","Der er 39.603 indbyggere i Middelfart Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 21,29‰.",Til salg i alt: 48 dage,118 m²,Ejerudg.: 3.161 kr/md,Elevator: Ja,3 værelser,Opført 2007,1 toilet,Altan: Ja,Terrasse: Nej,5500,https://www.boligsiden.dk/addresses/40eb1f85-9a02-4581-e044-0003ba298018,,
"Græstedvejen 73,3250",1.945.000 kr.,"Gilbjergskolen, Gilleleje",928 m,6.8,3.7,Villa,Energimærke G,Lav,"25,4%","29,34‰.","Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",Til salg i alt: 728 dage,110 m²,Ejerudg.: 3.003 kr/md,,4 værelser,Opført 1777,1 toilet,,,3250,https://www.boligsiden.dk/addresses/0a3f50a8-bcde-32b8-e044-0003ba298018,Grund: 1476 m²,
"Vinkelvej 3,9330",998.000 kr.,Flauenskjold Skole,821 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Lav,"26,3%","31,23‰.","Der er 36.194 indbyggere i Brønderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 31,23‰.",Til salg i alt: 228 dage,166 m²,Ejerudg.: 1.264 kr/md,,4 værelser,Opført 1966,1 toilet,,,9330,https://www.boligsiden.dk/addresses/0a3f50c7-1d9a-32b8-e044-0003ba298018,Grund: 900 m²,
"Per Kjals Vej 45,8520",4.095.000 kr.,Lystrup Skole,557 m,7.8,3.8,Villa,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 48 dage,120 m²,Ejerudg.: 2.734 kr/md,,4 værelser,Opført 1962,2 toiletter,,,8520,https://www.boligsiden.dk/addresses/0a3f50c3-dd3e-32b8-e044-0003ba298018,Grund: 750 m²,
"Niels Juels Gade 18, kl. th.,8200",1.850.000 kr.,Skovvangskolen,819 m,7,3.7,Ejerlejlighed,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 48 dage,58 m²,Ejerudg.: 1.640 kr/md,Elevator: Nej,2 værelser,Opført 1938,1 toilet,Altan: Nej,Terrasse: Nej,8200,https://www.boligsiden.dk/addresses/0a3f50c3-b5a7-32b8-e044-0003ba298018,,
"Vandværksvej 40,9970",965.000 kr.,Strandby Skole,774 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Mellem,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 48 dage,158 m²,Ejerudg.: 1.242 kr/md,,3 værelser,Opført 1968,1 toilet,,,9970,https://www.boligsiden.dk/addresses/0a3f50c7-946f-32b8-e044-0003ba298018,Grund: 769 m²,
"Usserød Kongevej 35C, st. tv.,2970",2.195.000 kr.,Hørsholm Skole,670 m,8.4,3.8,Ejerlejlighed,Energimærke E,Lav,"23,7%","22,1‰.","Der er 24.761 indbyggere i Hørsholm Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 22,1‰.",Til salg i alt: 48 dage,60 m²,Ejerudg.: 2.711 kr/md,Elevator: Nej,2 værelser,Opført 1939,1 toilet,Altan: Nej,Terrasse: Nej,2970,https://www.boligsiden.dk/addresses/0a3f50aa-27df-32b8-e044-0003ba298018,,
"Østerbrogade 36,6000",2.495.000 kr.,Brændkjærskolen,770 m,7.1,3.9,Villa,Energimærke D,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 48 dage,122 m²,Ejerudg.: 2.168 kr/md,,4 værelser,Opført 1951,1 toilet,,,6000,https://www.boligsiden.dk/addresses/0a3f50bc-5be2-32b8-e044-0003ba298018,Grund: 521 m²,
"Troldeskoven 14,3200",3.995.000 kr.,Nordstjerneskolen,658 m,6.8,3.6,Rækkehus,Energimærke A2015,Lav,"25,4%","29,34‰.","Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",Til salg i alt: 48 dage,155 m²,Ejerudg.: 4.149 kr/md,,5 værelser,Opført 2022,2 toiletter,,,3200,https://www.boligsiden.dk/addresses/cbebbffd-3a43-46b8-a0ba-375879de231e,Grund: 310 m²,
"Sabro Skovvej 16,8471",2.998.000 kr.,Sabro-Korsvejskolen,705 m,7.1,3.6,Villa,Energimærke D,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 48 dage,117 m²,Ejerudg.: 2.140 kr/md,,3 værelser,Opført 1967,1 toilet,,,8471,https://www.boligsiden.dk/addresses/0a3f50c4-07ca-32b8-e044-0003ba298018,Grund: 799 m²,
"Taastrup Have 30, 1. th.,2630",1.495.000 kr.,Borgerskolen,981 m,6.6,3.7,Ejerlejlighed,Energimærke D,Høj,"24,6%","24,4‰.","Der er 53.053 indbyggere i Høje-Taastrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 24,4‰.",Til salg i alt: 583 dage,57 m²,Ejerudg.: 3.048 kr/md,Elevator: Nej,2 værelser,Opført 1964,1 toilet,Altan: Ja,Terrasse: Nej,2630,https://www.boligsiden.dk/addresses/0a3f50a5-ef8c-32b8-e044-0003ba298018,,
"Gl Præstegårdsvej 7,8723",1.295.000 kr.,Løsning Skole,831 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Meget høj,"25,52%",18‰.,"Der er 47.099 indbyggere i Hedensted Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 18‰.",Til salg i alt: 48 dage,120 m²,Ejerudg.: 1.342 kr/md,,4 værelser,Opført 1897,2 toiletter,,,8723,https://www.boligsiden.dk/addresses/0a3f50bb-18a6-32b8-e044-0003ba298018,Grund: 1089 m²,
"Brokærvej 3,6771",1.095.000 kr.,Gredstedbro Skole,936 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 48 dage,60 m²,Ejerudg.: 1.039 kr/md,,2 værelser,Opført 1956,1 toilet,,,6771,https://www.boligsiden.dk/addresses/0a3f50b9-ba62-32b8-e044-0003ba298018,Grund: 700 m²,
"Norgesgade 8A, 1. th.,7000",3.345.000 kr.,"Kirstinebjergskolen, Høgevej",656 m,Ikke oplyst,Ikke oplyst,Ejerlejlighed,Energimærke B,Høj,"25,5%",26‰.,"Der er 51.606 indbyggere i Fredericia Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 26‰.",Til salg i alt: 48 dage,155 m²,Ejerudg.: 2.060 kr/md,Elevator: Nej,3 værelser,Opført 1933,1 toilet,Altan: Ja,Terrasse: Nej,7000,https://www.boligsiden.dk/addresses/e438e226-3282-45ca-94ce-1582e95bac9f,,
"Øksendrupvej 59,5874",1.135.000 kr.,Stokkebækskolen,"8,12 km",7,3.7,Villa,Energimærke D,Høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 48 dage,212 m²,Ejerudg.: 1.759 kr/md,,4 værelser,Opført 1977,2 toiletter,,,5874,https://www.boligsiden.dk/addresses/0a3f50b2-dae7-32b8-e044-0003ba298018,Grund: 2053 m²,
"Hovedgaden 1,7500",1.095.000 kr.,Tvis Skole,230 m,7.7,3.8,Villa,Energimærke C,Lav,"25,5%","24,12‰.","Der er 58.553 indbyggere i Holstebro Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 24,12‰.",Til salg i alt: 300 dage,85 m²,Ejerudg.: 1.755 kr/md,,1 værelser,Opført 1907,1 toilet,,,7500,https://www.boligsiden.dk/addresses/0a3f50be-0277-32b8-e044-0003ba298018,Grund: 983 m²,
"Tøndervej 195A,6200",1.595.000 kr.,Kongehøjskolen,768 m,6.9,3.6,Villa,Energimærke D,Høj,"25,6%","18,9‰.","Der er 58.693 indbyggere i Aabenraa Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 18,9‰.",Til salg i alt: 48 dage,83 m²,Ejerudg.: 1.291 kr/md,,3 værelser,Opført 1948,1 toilet,,,6200,https://www.boligsiden.dk/addresses/0a3f50b8-546c-32b8-e044-0003ba298018,Grund: 798 m²,
"Skolevej 11,5700",1.725.000 kr.,Nymarkskolen,"1,92 km",7.2,3.7,Villa,Energimærke E,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 48 dage,138 m²,Ejerudg.: 1.714 kr/md,,4 værelser,Opført 1912,1 toilet,,,5700,https://www.boligsiden.dk/addresses/0a3f50b5-9c6a-32b8-e044-0003ba298018,Grund: 632 m²,
"Oldermandsløkken 6,6200",1.645.000 kr.,Kongehøjskolen,452 m,6.9,3.6,Villa,Energimærke D,Høj,"25,6%","18,9‰.","Der er 58.693 indbyggere i Aabenraa Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 18,9‰.",Til salg i alt: 48 dage,124 m²,Ejerudg.: 1.408 kr/md,,5 værelser,Opført 1969,1 toilet,,,6200,https://www.boligsiden.dk/addresses/0a3f50b8-457c-32b8-e044-0003ba298018,Grund: 794 m²,
"Elmevej 37,9900",650.000 kr.,Nordstjerneskolen,"1,11 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Mellem,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 48 dage,109 m²,Ejerudg.: 1.428 kr/md,,3 værelser,Opført 1921,2 toiletter,,,9900,https://www.boligsiden.dk/addresses/0a3f50c7-5669-32b8-e044-0003ba298018,Grund: 473 m²,
"Drejøvænget 57,5500",2.795.000 kr.,Lillebæltskolen,508 m,7.5,3.9,Villa,Energimærke C,Høj,"25,8%","21,29‰.","Der er 39.603 indbyggere i Middelfart Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 21,29‰.",Til salg i alt: 48 dage,194 m²,Ejerudg.: 2.202 kr/md,,5 værelser,Opført 1978,2 toiletter,,,5500,https://www.boligsiden.dk/addresses/0a3f50b3-1d46-32b8-e044-0003ba298018,Grund: 962 m²,
"Lillesøvej 42, st.,8660",4.798.000 kr.,Morten Børup Skolen,826 m,7.4,3.7,Ejerlejlighed,Energimærke B,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 48 dage,124 m²,Ejerudg.: 3.228 kr/md,Elevator: Nej,4 værelser,Opført 2006,1 toilet,Altan: Nej,Terrasse: Nej,8660,https://www.boligsiden.dk/addresses/0a3f50c2-3338-32b8-e044-0003ba298018,,
"Skodsbølvej 100,6310",795.000 kr.,Broager Skole,"2,35 km",7,3.7,Villa,Energimærke D,Høj,"25,7%","27,1‰.","Der er 73.711 indbyggere i Sønderborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 27,1‰.",Til salg i alt: 48 dage,149 m²,Ejerudg.: 1.158 kr/md,,4 værelser,Opført 1877,1 toilet,,,6310,https://www.boligsiden.dk/addresses/0a3f50b6-6e09-32b8-e044-0003ba298018,Grund: 683 m²,
"Sølvgade 14, 2.,8700",1.195.000 kr.,Langmarkskolen,"1,13 km",6.9,3.8,Ejerlejlighed,Energimærke E,Høj,"25,39%","22,56‰.","Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",Til salg i alt: 48 dage,77 m²,Ejerudg.: 2.544 kr/md,Elevator: Nej,3 værelser,Opført 1917,1 toilet,Altan: Nej,Terrasse: Nej,8700,https://www.boligsiden.dk/addresses/0a3f50bb-9421-32b8-e044-0003ba298018,,
"Funders Alle 29,6740",1.998.000 kr.,Bakkevejens Skole,547 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke B,Lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 48 dage,116 m²,Ejerudg.: 1.414 kr/md,,4 værelser,Opført 2000,1 toilet,,,6740,https://www.boligsiden.dk/addresses/0a3f50b8-a154-32b8-e044-0003ba298018,Grund: 500 m²,
"Valby Langgade 49B, 4. th.,2500",4.998.000 kr.,Valby Skole,484 m,6.6,3.7,Ejerlejlighed,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 48 dage,93 m²,Ejerudg.: 4.418 kr/md,Elevator: Nej,3 værelser,Opført 1901,1 toilet,Altan: Ja,Terrasse: Nej,2500,https://www.boligsiden.dk/addresses/0a3f50a1-681a-32b8-e044-0003ba298018,,
"Grøndalsvej 258,8260",2.798.000 kr.,Vestergårdsskolen,"1,4 km",6.5,3.6,Rækkehus,Energimærke B,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 48 dage,154 m²,Ejerudg.: 3.143 kr/md,,5 værelser,Opført 1976,2 toiletter,,,8260,https://www.boligsiden.dk/addresses/0a3f50c2-f907-32b8-e044-0003ba298018,Grund: 255 m²,
"Bakketoppen 7,6000",1.295.000 kr.,Bramdrup Skole,390 m,6.7,3.8,Villa,Energimærke E,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 48 dage,94 m²,Ejerudg.: 1.907 kr/md,,2 værelser,Opført 1949,2 toiletter,,,6000,https://www.boligsiden.dk/addresses/0a3f50bb-deb7-32b8-e044-0003ba298018,Grund: 688 m²,
"Kastrupvej 94, 2. tv.,2300",2.495.000 kr.,Sundbyøster Skole,387 m,5.4,3.7,Ejerlejlighed,Energimærke B,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 142 dage,53 m²,Ejerudg.: 3.261 kr/md,Elevator: Nej,2 værelser,Opført 1939,1 toilet,Altan: Ja,Terrasse: Nej,2300,https://www.boligsiden.dk/addresses/0a3f509f-1f39-32b8-e044-0003ba298018,,
"Teestrup Nedenvej 28B,4690",1.845.000 kr.,Ny-Vest,"3,64 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke E,Høj,"25,8%",25‰.,"Der er 37.161 indbyggere i Faxe Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25‰.",Til salg i alt: 277 dage,191 m²,Ejerudg.: 2.029 kr/md,,4 værelser,Opført 1800,1 toilet,,,4690,https://www.boligsiden.dk/addresses/0a3f50ad-2063-32b8-e044-0003ba298018,Grund: 961 m²,
"Vrenstedvej 482,9480",448.000 kr.,Løkken undervisningssted,"4,89 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke E,Lav,"26,21%",34‰.,"Der er 63.839 indbyggere i Hjørring Kommune. Kommuneskatten er på 26,21% og grundskyldspromillen på 34‰.",Til salg i alt: 633 dage,123 m²,Ejerudg.: 1.020 kr/md,,4 værelser,Opført 1949,1 toilet,,,9480,https://www.boligsiden.dk/addresses/0a3f50c8-b00c-32b8-e044-0003ba298018,Grund: 760 m²,
"Smedebakken 17B,3490",4.500.000 kr.,Espergærde Skole,"2,55 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Lav,"25,52%","28,5‰.","Der er 62.875 indbyggere i Helsingør Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 28,5‰.",Til salg i alt: 48 dage,135 m²,Ejerudg.: 4.334 kr/md,,5 værelser,Opført 1968,3 toiletter,,,3490,https://www.boligsiden.dk/addresses/0a3f50a9-8122-32b8-e044-0003ba298018,Grund: 1200 m²,
"Lambertsdamvej 3,6740",2.245.000 kr.,Darum Børneby,739 m,Ikke oplyst,Ikke oplyst,Landejendom,Energimærke F,Lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 48 dage,140 m²,Ejerudg.: 1.991 kr/md,,4 værelser,Opført 1930,1 toilet,,,6740,https://www.boligsiden.dk/addresses/0a3f50b8-a7c0-32b8-e044-0003ba298018,Grund: 51628 m²,
"Skåde Søpark 27,8270",9.995.000 kr.,Skåde Skole,821 m,8.2,3.9,Villa,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 48 dage,297 m²,Ejerudg.: 7.151 kr/md,,9 værelser,Opført 2000,2 toiletter,,,8270,https://www.boligsiden.dk/addresses/0a3f50c4-3f6a-32b8-e044-0003ba298018,Grund: 1081 m²,
"Vestermarksvej 31,9900",1.175.000 kr.,Ravnshøj skole,"2,04 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Mellem,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 48 dage,175 m²,Ejerudg.: 1.540 kr/md,,5 værelser,Opført 1986,2 toiletter,,,9900,https://www.boligsiden.dk/addresses/0a3f50c7-95f3-32b8-e044-0003ba298018,Grund: 2589 m²,
"Ribevej 17,6740",2.498.000 kr.,Bakkevejens Skole,744 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 48 dage,142 m²,Ejerudg.: 2.168 kr/md,,5 værelser,Opført 1939,2 toiletter,,,6740,https://www.boligsiden.dk/addresses/0a3f50b8-acf4-32b8-e044-0003ba298018,Grund: 1132 m²,
"Gothersgade 17, 1.,1123",4.775.000 kr.,Sølvgades Skole,533 m,7.8,3.7,Ejerlejlighed,Energimærke D,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 48 dage,97 m²,Ejerudg.: 5.255 kr/md,Elevator: Nej,4 værelser,Opført 1766,1 toilet,Altan: Nej,Terrasse: Nej,1123,https://www.boligsiden.dk/addresses/0a3f509e-5812-32b8-e044-0003ba298018,,
"Søgårds Alle 36,5550",3.495.000 kr.,"Langeskov skole, afdeling Pilen","1,25 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke A2015,Høj,"26,1%","30,3‰.","Der er 24.034 indbyggere i Kerteminde Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 30,3‰.",Til salg i alt: 279 dage,151 m²,Ejerudg.: 2.197 kr/md,,5 værelser,Opført 2019,2 toiletter,,,5550,https://www.boligsiden.dk/addresses/f1a6864a-bce9-46f9-ac19-93442f4898ad,Grund: 948 m²,
"Bakkevangen 6,8400",1.995.000 kr.,Rosmus Skole,"4,8 km",7.3,3.8,Villa/Fritidsbolig,Energimærke D,Høj,"25,9%","33,8‰.","Der er 43.596 indbyggere i Syddjurs Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 33,8‰.",Til salg i alt: 48 dage,89 m²,Ejerudg.: 1.092 kr/md,,3 værelser,Opført 1971,1 toilet,,,8400,https://www.boligsiden.dk/addresses/0a3f50bf-63e8-32b8-e044-0003ba298018,Grund: 1717 m²,
"Nordmandsvænget 9,4050",4.195.000 kr.,Fjordlandsskolen,828 m,6.4,3.6,Villa,Energimærke B,Høj,"25,8%","32,5‰.","Der er 45.800 indbyggere i Frederikssund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,5‰.",Til salg i alt: 48 dage,223 m²,Ejerudg.: 3.544 kr/md,,6 værelser,Opført 2008,2 toiletter,,,4050,https://www.boligsiden.dk/addresses/374230b7-159c-51c5-e044-0003ba298018,Grund: 1168 m²,
"Kirsebærvej 3,7100",3.695.000 kr.,Mølholm Skole,524 m,7.5,3.9,Villa,Energimærke D,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 48 dage,170 m²,Ejerudg.: 2.875 kr/md,,6 værelser,Opført 1937,2 toiletter,,,7100,https://www.boligsiden.dk/addresses/0a3f50bc-cbbf-32b8-e044-0003ba298018,Grund: 744 m²,
"Vestre Strandallé 152,8240",5.498.000 kr.,Strandskolen,630 m,8,3.8,Villa,Energimærke D,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 48 dage,137 m²,Ejerudg.: 4.670 kr/md,,5 værelser,Opført 1957,1 toilet,,,8240,https://www.boligsiden.dk/addresses/0a3f50c4-ac41-32b8-e044-0003ba298018,Grund: 829 m²,
"Sofievej 6A,4300",5.195.000 kr.,"Nordvestsjællands Erhvervs- og Gymnasieuddannelser, 10. klasse, Holbæk",436 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Høj,"25,3%","25,09‰.","Der er 72.810 indbyggere i Holbæk Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 25,09‰.",Til salg i alt: 319 dage,222 m²,Ejerudg.: 3.958 kr/md,,6 værelser,Opført 1903,3 toiletter,,,4300,https://www.boligsiden.dk/addresses/335294ad-712e-4e45-be4c-e8fc7addf620,Grund: 308 m²,
"Javavej 10B,2300",8.995.000 kr.,Skolen ved Sundet,913 m,7.6,3.8,Villa,Energimærke D,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 48 dage,92 m²,Ejerudg.: 5.052 kr/md,,3 værelser,Opført 1939,1 toilet,,,2300,https://www.boligsiden.dk/addresses/0a3f509f-027f-32b8-e044-0003ba298018,Grund: 457 m²,
"Store Klaus 26,5270",6.495.000 kr.,Kroggårdsskolen,"1,08 km",7.2,3.8,Villa,Energimærke D,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 300 dage,227 m²,Ejerudg.: 3.739 kr/md,,4 værelser,Opført 1967,2 toiletter,,,5270,https://www.boligsiden.dk/addresses/0a3f50b4-ca96-32b8-e044-0003ba298018,Grund: 2620 m²,
"Østergade 7,6740",1.348.000 kr.,Bakkevejens Skole,737 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 48 dage,120 m²,Ejerudg.: 1.466 kr/md,,5 værelser,Opført 1920,1 toilet,,,6740,https://www.boligsiden.dk/addresses/0a3f50b8-b47d-32b8-e044-0003ba298018,Grund: 683 m²,
"Lilleøvej 15,4220",998.000 kr.,Baggesenskolen,630 m,6.7,3.6,Villa,Energimærke C,Høj,"25,6%","25,3‰.","Der er 79.691 indbyggere i Slagelse Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 25,3‰.",Til salg i alt: 48 dage,125 m²,Ejerudg.: 2.188 kr/md,,6 værelser,Opført 1850,1 toilet,,,4220,https://www.boligsiden.dk/addresses/0a3f50ad-df09-32b8-e044-0003ba298018,Grund: 543 m²,
"Svalhøjvej 5,3790",1.395.000 kr.,Svartingedal Skole,483 m,6,3.7,Villa,Energimærke F,Meget høj,"26,2%",34‰.,"Der er 39.545 indbyggere i Bornholm Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 34‰.",Til salg i alt: 48 dage,128 m²,Ejerudg.: 1.593 kr/md,,5 værelser,Opført 1959,1 toilet,,,3790,https://www.boligsiden.dk/addresses/0a3f50b2-2cd3-32b8-e044-0003ba298018,Grund: 2399 m²,
"Hørby Færgevej 5,4300",3.195.000 kr.,Udby Skole,"1,69 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Høj,"25,3%","25,09‰.","Der er 72.810 indbyggere i Holbæk Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 25,09‰.",Til salg i alt: 48 dage,143 m²,Ejerudg.: 1.959 kr/md,,5 værelser,Opført 2004,2 toiletter,,,4300,https://www.boligsiden.dk/addresses/0a3f50ad-4090-32b8-e044-0003ba298018,Grund: 710 m²,
"Møllebakken 18,4400",4.595.000 kr.,Rynkevangskolen,923 m,6.2,3.5,Villa,Energimærke C,Høj,"24,2%",34‰.,"Der er 48.368 indbyggere i Kalundborg Kommune. Kommuneskatten er på 24,2% og grundskyldspromillen på 34‰.",Til salg i alt: 48 dage,176 m²,Ejerudg.: 2.166 kr/md,,5 værelser,Opført 2004,2 toiletter,,,4400,https://www.boligsiden.dk/addresses/0a3f50ad-b6d6-32b8-e044-0003ba298018,Grund: 701 m²,
