,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Kornblomstvej 41,9000",3.895.000 kr.,Stolpedalsskolen,790 m,8.3,3.9,Villa,Energimærke D,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 13 dage,120 m²,Grund: 473 m²,Ejerudg.: 2.394 kr/md,3 værelser,Opført 1946,1 toilet,9000,https://www.boligsiden.dk/addresses/0a3f50ca-4589-32b8-e044-0003ba298018,,,,
"Stakkeledet 29,2970",6.795.000 kr.,Rude Skov Skole,"3,13 km",8.3,3.7,Villa,Energimærke D,Mellem,"23,21%","22,93‰.","Der er 57.247 indbyggere i Rudersdal Kommune. Kommuneskatten er på 23,21% og grundskyldspromillen på 22,93‰.",Til salg i alt: 13 dage,127 m²,Grund: 1000 m²,Ejerudg.: 6.087 kr/md,4 værelser,Opført 1996,1 toilet,2970,https://www.boligsiden.dk/addresses/0a3f50a7-fc53-32b8-e044-0003ba298018,,,,
"Topperne 1, st. 4.,2620",1.448.000 kr.,Herstedvester Skole,307 m,6.6,3.6,Ejerlejlighed,Energimærke C,Høj,"25,6%","33,94‰.","Der er 27.599 indbyggere i Albertslund Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 33,94‰.",Til salg i alt: 13 dage,49 m²,,Ejerudg.: 2.712 kr/md,2 værelser,Opført 1972,1 toilet,2620,https://www.boligsiden.dk/addresses/0a3f50a5-3776-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Bülowsgade 25B,8000",5.500.000 kr.,Frederiksbjerg Skole,357 m,7.7,3.7,Villa,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 13 dage,79 m²,Grund: 197 m²,Ejerudg.: 4.754 kr/md,3 værelser,Opført 1886,1 toilet,8000,https://www.boligsiden.dk/addresses/0a3f50c2-990a-32b8-e044-0003ba298018,,,,
"Ebbesensvej 9,8641",2.298.000 kr.,Sorring Skole,231 m,Ikke oplyst,Ikke oplyst,Rækkehus,Energimærke B,Mellem,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 13 dage,200 m²,Grund: 986 m²,Ejerudg.: 2.564 kr/md,7 værelser,Opført 1907,2 toiletter,8641,https://www.boligsiden.dk/addresses/434d4d3b-18ba-0401-e044-0003ba298018,,,,
"Rådmand Steins Alle 25, 6. tv.,2000",3.995.000 kr.,Søndermarkskolen,410 m,7.4,3.7,Ejerlejlighed,Energimærke D,Lav,"23,47%","24,75‰.","Der er 103.608 indbyggere i Frederiksberg Kommune. Kommuneskatten er på 23,47% og grundskyldspromillen på 24,75‰.",Til salg i alt: 13 dage,90 m²,,Ejerudg.: 4.165 kr/md,4 værelser,Opført 1953,1 toilet,2000,https://www.boligsiden.dk/addresses/0a3f50a2-bf71-32b8-e044-0003ba298018,Elevator: Ja,Altan: Ja,Terrasse: Nej,
"Dybendal 35,5750",1.095.000 kr.,Tingagerskolen,797 m,6.6,3.7,Villa,Energimærke D,Meget høj,"26,1%","22,85‰.","Der er 51.849 indbyggere i Faaborg-Midtfyn Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,85‰.",Til salg i alt: 123 dage,109 m²,Grund: 799 m²,Ejerudg.: 1.412 kr/md,4 værelser,Opført 1973,1 toilet,5750,https://www.boligsiden.dk/addresses/0a3f50b5-2d3d-32b8-e044-0003ba298018,,,,
"Bybjergvej 19, 1. tv.,2970",2.395.000 kr.,Hørsholm Skole,459 m,8.4,3.8,Ejerlejlighed,Energimærke C,Lav,"23,7%","22,1‰.","Der er 24.761 indbyggere i Hørsholm Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 22,1‰.",Til salg i alt: 160 dage,77 m²,,Ejerudg.: 5.103 kr/md,3 værelser,Opført 1963,1 toilet,2970,https://www.boligsiden.dk/addresses/0a3f50aa-05f8-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Snævringen 18,5700",7.695.000 kr.,Thurø Skole,288 m,7.4,3.9,Villa,Energimærke C,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 146 dage,179 m²,Grund: 1020 m²,Ejerudg.: 4.862 kr/md,4 værelser,Opført 1959,2 toiletter,5700,https://www.boligsiden.dk/addresses/0a3f50b5-a0c6-32b8-e044-0003ba298018,,,,
"Kirkebjerg Allé 122,2605",4.750.000 kr.,Brøndbyvester Skole - Tornehøj,818 m,6.7,3.7,Villa,Energimærke D,Høj,"24,3%","20,5‰.","Der er 35.651 indbyggere i Brøndby Kommune. Kommuneskatten er på 24,3% og grundskyldspromillen på 20,5‰.",Til salg i alt: 13 dage,132 m²,Grund: 774 m²,Ejerudg.: 3.085 kr/md,5 værelser,Opført 1956,1 toilet,2605,https://www.boligsiden.dk/addresses/0a3f50a3-62f5-32b8-e044-0003ba298018,,,,
"Væbnerhatten 185,5220",3.195.000 kr.,Holluf Pile Skole,"1,53 km",7.2,3.8,Villa,Energimærke B,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 370 dage,163 m²,Grund: 810 m²,Ejerudg.: 2.527 kr/md,5 værelser,Opført 1998,2 toiletter,5220,https://www.boligsiden.dk/addresses/0a3f50b4-f947-32b8-e044-0003ba298018,,,,
"Lorents Møllers Vej 44,6700",1.398.000 kr.,Rørkjær Skole,943 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke E,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 13 dage,128 m²,Grund: 591 m²,Ejerudg.: 1.527 kr/md,5 værelser,Opført 1964,1 toilet,6700,https://www.boligsiden.dk/addresses/0a3f50b9-0dd5-32b8-e044-0003ba298018,,,,
"H P Olsens Vænge 4,2630",3.095.000 kr.,Borgerskolen,"1,61 km",6.6,3.7,Rækkehus,Energimærke D,Høj,"24,6%","24,4‰.","Der er 53.053 indbyggere i Høje-Taastrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 24,4‰.",Til salg i alt: 13 dage,99 m²,Grund: 412 m²,Ejerudg.: 3.226 kr/md,4 værelser,Opført 1963,1 toilet,2630,https://www.boligsiden.dk/addresses/0a3f50a5-bb2e-32b8-e044-0003ba298018,,,,
"Sandbjergvej 30,8700",998.000 kr.,Stensballeskolen,"5,84 km",7.8,3.9,Villa,Energimærke E,Mellem,"25,39%","22,56‰.","Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",Til salg i alt: 13 dage,72 m²,Grund: 802 m²,Ejerudg.: 1.569 kr/md,2 værelser,Opført 1945,2 toiletter,8700,https://www.boligsiden.dk/addresses/0a3f50ba-f1db-32b8-e044-0003ba298018,,,,
"Niels Nielsensgade 25,4900",495.000 kr.,Byskolen,319 m,6.1,3.6,Rækkehus,Energimærke D,Mellem,"26,3%","33,09‰.","Der er 40.107 indbyggere i Lolland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 33,09‰.",Til salg i alt: 13 dage,92 m²,Grund: 209 m²,Ejerudg.: 1.081 kr/md,4 værelser,Opført 1900,2 toiletter,4900,https://www.boligsiden.dk/addresses/0a3f50b0-0ec3-32b8-e044-0003ba298018,,,,
"Løjpen 16,7100",4.285.000 kr.,"Vejle Midtbyskole, afdeling Damhaven",404 m,6,3.6,Villa,Energimærke C,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 13 dage,199 m²,Grund: 1856 m²,Ejerudg.: 4.123 kr/md,6 værelser,Opført 1978,1 toilet,7100,https://www.boligsiden.dk/addresses/0a3f50bc-d5e3-32b8-e044-0003ba298018,,,,
"Hedevej 28,8240",4.795.000 kr.,Strandskolen,429 m,8,3.8,Villa,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 13 dage,162 m²,Grund: 788 m²,Ejerudg.: 3.667 kr/md,5 værelser,Opført 1965,1 toilet,8240,https://www.boligsiden.dk/addresses/0a3f50c3-16c6-32b8-e044-0003ba298018,,,,
"Bagerstræde 3,4450",595.000 kr.,Jyderup Skole,"2,49 km",6.6,3.6,Villa,Energimærke G,Høj,"25,3%","25,09‰.","Der er 72.810 indbyggere i Holbæk Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 25,09‰.",Til salg i alt: 13 dage,102 m²,Grund: 2199 m²,Ejerudg.: 1.602 kr/md,4 værelser,Opført 1833,1 toilet,4450,https://www.boligsiden.dk/addresses/0a3f50af-0882-32b8-e044-0003ba298018,,,,
"Tyreengen 14, 2. th.,4220",798.000 kr.,Baggesenskolen,"1,2 km",6.7,3.6,Ejerlejlighed,Energimærke D,Høj,"25,6%","25,3‰.","Der er 79.691 indbyggere i Slagelse Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 25,3‰.",Til salg i alt: 13 dage,78 m²,,Ejerudg.: 2.216 kr/md,3 værelser,Opført 1969,1 toilet,4220,https://www.boligsiden.dk/addresses/0a3f50ad-f557-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Fåreager 70, 1.,2680",3.695.000 kr.,Munkekærskolen,954 m,7.6,3.7,Ejerlejlighed,Energimærke A2010,Mellem,"24,9%","20,95‰.","Der er 23.794 indbyggere i Solrød Kommune. Kommuneskatten er på 24,9% og grundskyldspromillen på 20,95‰.",Til salg i alt: 505 dage,105 m²,,Ejerudg.: 3.141 kr/md,4 værelser,Opført 2013,1 toilet,2680,https://www.boligsiden.dk/addresses/96c323e2-1516-4307-b1cf-8dbd2af9269e,Elevator: Nej,Altan: Ja,Terrasse: Nej,
"Trehøjevej 18,6818",1.795.000 kr.,Årre Skole,"2,26 km",Ikke oplyst,Ikke oplyst,Landejendom/Villa,Energimærke D,Lav,"25,1%","31,56‰.","Der er 49.664 indbyggere i Varde Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 31,56‰.",Til salg i alt: 13 dage,209 m²,Grund: 36373 m²,Ejerudg.: 2.164 kr/md,6 værelser,Opført 1888,1 toilet,6818,https://www.boligsiden.dk/addresses/0a3f50b9-abd7-32b8-e044-0003ba298018,,,,
"Bagerstræde 9, 1.,1617",10.980.000 kr.,Gasværksvejens Skole,405 m,8.2,3.6,Ejerlejlighed,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 13 dage,151 m²,,Ejerudg.: 4.142 kr/md,4 værelser,Opført 1908,1 toilet,1617,https://www.boligsiden.dk/addresses/0a3f509d-3e2c-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Tendrupvej 6,8543",3.795.000 kr.,Hornslet Skole,405 m,7.4,3.7,Villa,Energimærke D,Høj,"25,9%","33,8‰.","Der er 43.596 indbyggere i Syddjurs Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 33,8‰.",Til salg i alt: 337 dage,160 m²,Grund: 971 m²,Ejerudg.: 2.956 kr/md,6 værelser,Opført 1928,1 toilet,8543,https://www.boligsiden.dk/addresses/0a3f50c1-68fc-32b8-e044-0003ba298018,,,,
"Stubbergårdvej 5,7830",1.695.000 kr.,Skave Skole og Børnehus,9 km,7.1,3.7,Villa,Energimærke F,Lav,"25,5%","24,12‰.","Der er 58.553 indbyggere i Holstebro Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 24,12‰.",Til salg i alt: 325 dage,207 m²,Grund: 4235 m²,Ejerudg.: 1.541 kr/md,4 værelser,Opført 1880,2 toiletter,7830,https://www.boligsiden.dk/addresses/0a3f50bf-4ead-32b8-e044-0003ba298018,,,,
"Birkehøjvej 6,5500",3.295.000 kr.,Strib Skole,648 m,7.4,3.8,Villa,Energimærke B,Høj,"25,8%","21,29‰.","Der er 39.603 indbyggere i Middelfart Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 21,29‰.",Til salg i alt: 13 dage,163 m²,Grund: 794 m²,Ejerudg.: 2.274 kr/md,4 værelser,Opført 1966,1 toilet,5500,https://www.boligsiden.dk/addresses/0a3f50b3-189f-32b8-e044-0003ba298018,,,,
"Strandvej 41,9970",745.000 kr.,Strandby Skole,233 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Mellem,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 13 dage,106 m²,Grund: 594 m²,Ejerudg.: 1.120 kr/md,4 værelser,Opført 1929,1 toilet,9970,https://www.boligsiden.dk/addresses/0a3f50c7-8bcc-32b8-e044-0003ba298018,,,,
"Vejrup-Vej 68,5491",1.645.000 kr.,Ubberud Skole,"1,03 km",6.9,3.6,Villa,Energimærke D,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 300 dage,148 m²,Grund: 2883 m²,Ejerudg.: 1.402 kr/md,5 værelser,Opført 1963,1 toilet,5491,https://www.boligsiden.dk/addresses/0a3f50b4-eaa1-32b8-e044-0003ba298018,,,,
"Dortheavej 93,2400",8.995.000 kr.,Utterslev Skole,186 m,7.3,3.7,Villa,Energimærke G,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 13 dage,133 m²,Grund: 404 m²,Ejerudg.: 5.649 kr/md,6 værelser,Opført 1923,3 toiletter,2400,https://www.boligsiden.dk/addresses/0a3f509d-c9ce-32b8-e044-0003ba298018,,,,
"Bundsgaard 18,7080",3.095.000 kr.,Englystskolen,265 m,7.5,3.8,Villa,Energimærke C,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 13 dage,153 m²,Grund: 839 m²,Ejerudg.: 2.365 kr/md,5 værelser,Opført 2005,2 toiletter,7080,https://www.boligsiden.dk/addresses/0a3f50ba-519e-32b8-e044-0003ba298018,,,,
