index,By_fra_DST,Familiernes gennemsnitlige indkomst indkomst_x,antal anmeldelser,antal sigtelser,Familiernes gennemsnitlige indkomst indkomst_y,"m2 parker, sportsanlæg og rekreative omr pr indbygger",andel_dansk_opr,andel_vestlig_opr,andel_ikke_vestlig_opr,Gennemsnitlig pendligafstand
84,Horsens,576794.0,4478.0,1486.0,576794.0,62.0,0.8335264620527703,0.0716387911851267,0.09483474676210302,23.0
85,Norddjurs,514887.0,1436.0,393.0,514887.0,99.3,0.8995748623753202,0.048781817190821385,0.05164332043385839,25.5
86,Odder,613874.0,654.0,75.0,613874.0,70.8,0.9127695965958867,0.03608526970088857,0.05114513370322473,23.6
87,Randers,543324.0,4416.0,1385.0,543324.0,55.8,0.8926163115473625,0.03684861543372436,0.0705350730189131,24.8
88,Samsø,486377.0,159.0,77.0,486377.0,256.1,0.8923620549062246,0.07610763794509377,0.031530307148681706,20.4
89,Silkeborg,643206.0,3354.0,924.0,643206.0,61.0,0.9059191815452678,0.035175383156896826,0.05890543529783536,27.0
90,Skanderborg,723214.0,1795.0,382.0,723214.0,67.6,0.9202765540871267,0.02736478218306412,0.0523586637298091,25.6
91,Syddjurs,587199.0,1412.0,291.0,587199.0,105.3,0.9164717371062612,0.042581700088569936,0.040946562805168854,31.0
92,Aarhus,538482.0,24672.0,5791.0,538482.0,39.2,0.8150685489676229,0.054635442274625065,0.130296008757752,21.4
94,Herning,595738.0,3751.0,1313.0,595738.0,75.9,0.8680406644075329,0.04784178656741292,0.08411754902505417,22.8
95,Holstebro,578180.0,2827.0,1302.0,578180.0,80.2,0.8980428010293918,0.03330285791683597,0.06865434105377217,24.0
96,Ikast-Brande,583314.0,1584.0,467.0,583314.0,101.6,0.8381990035852307,0.06467383712809052,0.09712715928667877,24.7
97,Lemvig,596226.0,372.0,91.0,596226.0,95.6,0.900768987675129,0.04982618771726535,0.049404824607605605,24.7
98,Ringkøbing-Skjern,592394.0,1631.0,333.0,592394.0,91.3,0.8651528945536335,0.07245755904246773,0.062389546403898676,21.8
99,Skive,557051.0,1632.0,781.0,557051.0,81.1,0.9135212720626164,0.03238466886451816,0.054094059072865505,23.0
100,Struer,548629.0,620.0,286.0,548629.0,79.8,0.8855896908226762,0.049977950904012934,0.0644323582733108,24.6
101,Viborg,587297.0,4175.0,1832.0,587297.0,74.0,0.8977155203309475,0.04017038880185134,0.06211409086720118,24.9
104,Brønderslev,568809.0,1266.0,645.0,568809.0,87.2,0.9168078247090323,0.029096770668269493,0.05409540462269821,29.4
105,Frederikshavn,534290.0,2019.0,712.0,534290.0,86.0,0.9002606667581287,0.05113870215393058,0.04860063108794073,27.6
106,Hjørring,547309.0,2065.0,798.0,547309.0,95.9,0.9079911908132767,0.03712442976246657,0.054884379424256724,26.1
107,Jammerbugt,560228.0,960.0,253.0,560228.0,136.7,0.9288184438040346,0.03211946554886036,0.03906209064710506,29.5
108,Læsø,441210.0,16.0,3.0,441210.0,223.7,0.9274700171330669,0.0548258138206739,0.01770416904625928,25.3
109,Mariagerfjord,570470.0,1313.0,395.0,570470.0,72.6,0.905936334958417,0.03594302647930408,0.05812063856227894,27.4
110,Morsø,536268.0,459.0,169.0,536268.0,105.1,0.9281525674366427,0.0283004436285758,0.0435469889347815,19.6
111,Rebild,674931.0,591.0,121.0,674931.0,84.0,0.9346618435501582,0.02522446870357212,0.04011368774626962,30.2
112,Thisted,555421.0,1085.0,421.0,555421.0,85.1,0.9031927289676066,0.045746912141691916,0.05106035889070147,22.5
113,Vesthimmerlands,555936.0,1967.0,1146.0,555936.0,169.6,0.8934865045728307,0.048990631273700645,0.05752286415346866,25.7
114,Aalborg,529479.0,10679.0,3505.0,529479.0,57.4,0.8828107836675768,0.0361458207235441,0.08104339560887909,25.5
