,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Damledet 21,8350",3.995.000 kr.,Hundslund Skole,"2,1 km",Ikke oplyst,Ikke oplyst,Landejendom,Energimærke C,Mellem,"25,1%","30,32‰.","Der er 23.304 indbyggere i Odder Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 30,32‰.",Til salg i alt: 538 dage,355 m²,Grund: 28026 m²,Ejerudg.: 4.513 kr/md,10 værelser,Opført 1877,2 toiletter,8350,https://www.boligsiden.dk/addresses/0a3f50c0-97ee-32b8-e044-0003ba298018,,,,
"Blegen 15, st. th.,6400",4.695.000 kr.,Ahlmann-Skolen,503 m,7.2,3.8,Ejerlejlighed,Energimærke A2010,Høj,"25,7%","27,1‰.","Der er 73.711 indbyggere i Sønderborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 27,1‰.",Til salg i alt: 67 dage,155 m²,,Ejerudg.: 3.798 kr/md,4 værelser,Opført 2019,2 toiletter,6400,https://www.boligsiden.dk/addresses/4e553e33-4841-43a1-b6dc-ff6151e8bbfb,Elevator: Ja,Altan: Ja,Terrasse: Nej,
"Henrik Ibsensvej 9,9300",1.995.000 kr.,Sæbygårdskolen,"1,14 km",Ikke oplyst,Ikke oplyst,Villa/Fritidsbolig,Energimærke B,Lav,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 67 dage,174 m²,Grund: 775 m²,Ejerudg.: 1.610 kr/md,6 værelser,Opført 1978,2 toiletter,9300,https://www.boligsiden.dk/addresses/0a3f50c9-7f24-32b8-e044-0003ba298018,,,,
"Storegade 89,5592",895.000 kr.,Gelsted Skole,"8,8 km",5.9,3.8,Villa,Energimærke E,Mellem,"25,8%","21,29‰.","Der er 39.603 indbyggere i Middelfart Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 21,29‰.",Til salg i alt: 67 dage,195 m²,Grund: 1754 m²,Ejerudg.: 1.080 kr/md,6 værelser,Opført 1902,2 toiletter,5592,https://www.boligsiden.dk/addresses/0a3f50b2-936a-32b8-e044-0003ba298018,,,,
"Brorsonsvej 31,6000",1.745.000 kr.,Bakkeskolen,332 m,7.1,3.8,Rækkehus,Energimærke D,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 67 dage,95 m²,Grund: 487 m²,Ejerudg.: 1.683 kr/md,3 værelser,Opført 1964,1 toilet,6000,https://www.boligsiden.dk/addresses/0a3f50bb-e7d8-32b8-e044-0003ba298018,,,,
"Lodbergsvej 249C, 1. 205c.,6950",1.265.000 kr.,Holmsland Skole,"4,06 km",Ikke oplyst,Ikke oplyst,Ejerlejlighed,Energimærke B,Meget lav,25%,31‰.,Der er 56.203 indbyggere i Ringkøbing-Skjern Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 31‰.,Til salg i alt: 67 dage,67 m²,,Ejerudg.: 2.250 kr/md,4 værelser,Opført 1978,1 toilet,6950,https://www.boligsiden.dk/addresses/0a3f50bd-cdde-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Rolighedsvej 75,8240",6.498.000 kr.,Risskov Skole,528 m,8.4,3.8,Villa,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 67 dage,102 m²,Grund: 427 m²,Ejerudg.: 5.504 kr/md,5 værelser,Opført 1974,2 toiletter,8240,https://www.boligsiden.dk/addresses/0a3f50c3-ef74-32b8-e044-0003ba298018,,,,
"Ellehammersvej 29,9430",2.298.000 kr.,Vadum Skole,463 m,7,3.6,Villa,Energimærke C,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 297 dage,125 m²,Grund: 845 m²,Ejerudg.: 1.916 kr/md,4 værelser,Opført 1939,2 toiletter,9430,https://www.boligsiden.dk/addresses/0a3f50c9-eb16-32b8-e044-0003ba298018,,,,
"Bygade 64,7173",745.000 kr.,Øster Nykirke Skole,471 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke F,Lav,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 66 dage,88 m²,Grund: 760 m²,Ejerudg.: 1.104 kr/md,3 værelser,Opført 1947,1 toilet,7173,https://www.boligsiden.dk/addresses/0a3f50ba-fb47-32b8-e044-0003ba298018,,,,
"Hjortespringparken 29,2730",4.950.000 kr.,"Kildegårdskolen, afd. Vest",695 m,6.7,3.6,Villa,Energimærke C,Mellem,"23,7%","24,3‰.","Der er 28.867 indbyggere i Herlev Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 24,3‰.",Til salg i alt: 67 dage,175 m²,Grund: 214 m²,Ejerudg.: 4.760 kr/md,6 værelser,Opført 1972,2 toiletter,2730,https://www.boligsiden.dk/addresses/0a3f50a4-e775-32b8-e044-0003ba298018,,,,
"Pilevænget 6,8300",2.595.000 kr.,Parkvejens Skole,307 m,7,3.7,Rækkehus,Energimærke C,Mellem,"25,1%","30,32‰.","Der er 23.304 indbyggere i Odder Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 30,32‰.",Til salg i alt: 67 dage,105 m²,Grund: 441 m²,Ejerudg.: 2.006 kr/md,4 værelser,Opført 1963,1 toilet,8300,https://www.boligsiden.dk/addresses/0a3f50c0-a9d4-32b8-e044-0003ba298018,,,,
"Eskærvænget 54,5700",3.895.000 kr.,Tåsingeskolen,529 m,7.2,3.7,Villa,Energimærke A2010,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 133 dage,147 m²,Grund: 906 m²,Ejerudg.: 2.636 kr/md,5 værelser,Opført 2003,2 toiletter,5700,https://www.boligsiden.dk/addresses/0a3f50b5-6fcd-32b8-e044-0003ba298018,,,,
"Klostervej 90G,8680",5.495.000 kr.,Mølleskolen,593 m,7.9,3.9,Villa,Energimærke D,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 381 dage,207 m²,Grund: 1100 m²,Ejerudg.: 3.679 kr/md,5 værelser,Opført 1988,2 toiletter,8680,https://www.boligsiden.dk/addresses/0a3f50c1-8887-32b8-e044-0003ba298018,,,,
"Skovhusevej 50,8723",1.895.000 kr.,Løsning Skole,"2,23 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke E,Meget høj,"25,52%",18‰.,"Der er 47.099 indbyggere i Hedensted Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 18‰.",Til salg i alt: 67 dage,115 m²,Grund: 20475 m²,Ejerudg.: 2.174 kr/md,4 værelser,Opført 1902,2 toiletter,8723,https://www.boligsiden.dk/addresses/0a3f50bb-2783-32b8-e044-0003ba298018,,,,
"Poppelvænget 23,7000",1.175.000 kr.,Fjordbakkeskolen,755 m,7.3,3.7,Villa,Energimærke D,Høj,"25,5%",26‰.,"Der er 51.606 indbyggere i Fredericia Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 26‰.",Til salg i alt: 67 dage,104 m²,Grund: 700 m²,Ejerudg.: 1.426 kr/md,4 værelser,Opført 1963,1 toilet,7000,https://www.boligsiden.dk/addresses/32c88351-b2fa-1479-e044-0003ba298018,,,,
"Lystrupvej 224,8520",2.795.000 kr.,Lystrup Skole,862 m,7.8,3.8,Rækkehus,Energimærke B,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 67 dage,124 m²,Grund: - m²,Ejerudg.: 2.134 kr/md,4 værelser,Opført 1991,1 toilet,8520,https://www.boligsiden.dk/addresses/0a3f50c3-946f-32b8-e044-0003ba298018,,,,
"Vintervænget 30,9700",1.295.000 kr.,Søndergades Skole,416 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Mellem,"26,3%","31,23‰.","Der er 36.194 indbyggere i Brønderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 31,23‰.",Til salg i alt: 67 dage,120 m²,Grund: 898 m²,Ejerudg.: 1.796 kr/md,4 værelser,Opført 1975,1 toilet,9700,https://www.boligsiden.dk/addresses/0a3f50c7-0185-32b8-e044-0003ba298018,,,,
"Nørhedevej 42,8600",4.745.000 kr.,Hvinningdalskolen,"1,99 km",7.8,3.8,Villa/Landejendom,Energimærke D,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 308 dage,245 m²,Grund: 19817 m²,Ejerudg.: 4.637 kr/md,6 værelser,Opført 1930,1 toilet,8600,https://www.boligsiden.dk/addresses/0a3f50c1-f77e-32b8-e044-0003ba298018,,,,
"Bogøvej 19,4700",1.895.000 kr.,Sct. Jørgens Skole,72 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke B,Høj,25%,25‰.,Der er 83.801 indbyggere i Næstved Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 67 dage,94 m²,Grund: 700 m²,Ejerudg.: 2.340 kr/md,4 værelser,Opført 1952,2 toiletter,4700,https://www.boligsiden.dk/addresses/0a3f50b0-6a3a-32b8-e044-0003ba298018,,,,
"Engbjergvej 75,7620",1.695.000 kr.,"Tangen Skole og Børnecenter, Afd. Harboøre","5,94 km",6.9,3.8,Villa,Energimærke A2010,Mellem,"25,46%",28‰.,"Der er 19.398 indbyggere i Lemvig Kommune. Kommuneskatten er på 25,46% og grundskyldspromillen på 28‰.",Til salg i alt: 67 dage,152 m²,Grund: 9401 m²,Ejerudg.: 1.347 kr/md,2 værelser,Opført 1967,1 toilet,7620,https://www.boligsiden.dk/addresses/0a3f50be-69a9-32b8-e044-0003ba298018,,,,
"Finkevej 59,9700",1.250.000 kr.,Skoledistrikt Vest,"3,27 km",Ikke oplyst,Ikke oplyst,Landejendom,Energimærke D,Mellem,"26,3%","31,23‰.","Der er 36.194 indbyggere i Brønderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 31,23‰.",Til salg i alt: 67 dage,157 m²,Grund: 25000 m²,Ejerudg.: 1.946 kr/md,3 værelser,Opført 1878,2 toiletter,9700,https://www.boligsiden.dk/addresses/0a3f50c6-e411-32b8-e044-0003ba298018,,,,
"Langageren 24,2630",3.695.000 kr.,Sengeløse Skole,882 m,7.4,3.7,Rækkehus,Energimærke C,Høj,"24,6%","24,4‰.","Der er 53.053 indbyggere i Høje-Taastrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 24,4‰.",Til salg i alt: 67 dage,108 m²,Grund: 348 m²,Ejerudg.: 2.924 kr/md,4 værelser,Opført 2006,1 toilet,2630,https://www.boligsiden.dk/addresses/0a3f50a5-c6e6-32b8-e044-0003ba298018,,,,
"Sønderbrogade 28,7160",965.000 kr.,Tørring Skole,"1,37 km",6.8,3.7,Rækkehus,Energimærke C,Høj,"25,52%",18‰.,"Der er 47.099 indbyggere i Hedensted Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 18‰.",Til salg i alt: 66 dage,117 m²,Grund: 331 m²,Ejerudg.: 1.133 kr/md,5 værelser,Opført 1910,1 toilet,7160,https://www.boligsiden.dk/addresses/0a3f50bc-8672-32b8-e044-0003ba298018,,,,
"Middelbanke 45,9990",1.450.000 kr.,Skagen Skole,"1,93 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Meget lav,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 250 dage,168 m²,Grund: 794 m²,Ejerudg.: 1.671 kr/md,5 værelser,Opført 1973,2 toiletter,9990,https://www.boligsiden.dk/addresses/0a3f50c9-3539-32b8-e044-0003ba298018,,,,
"Otte Ruds Vej 28,5220",2.645.000 kr.,Rosengårdskolen,"1,34 km",6.7,3.7,Rækkehus,Energimærke B,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 67 dage,105 m²,Grund: 306 m²,Ejerudg.: 1.617 kr/md,4 værelser,Opført 1980,1 toilet,5220,https://www.boligsiden.dk/addresses/0a3f50b4-7abb-32b8-e044-0003ba298018,,,,
