,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Raursherred 20,6100",1.345.000 kr.,Starup-Øsby Skole og Børnehus,"1,96 km",6.4,3.8,Villa,Energimærke F,Høj,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 808 dage,109 m²,Grund: 902 m²,Ejerudg.: 1.250 kr/md,4 værelser,Opført 1857,1 toilet,6100,https://www.boligsiden.dk/addresses/0a3f50b6-d4d7-32b8-e044-0003ba298018,,,,
"Volmersgade 15A,4760",995.000 kr.,Ungdomsskolen og 10.klasse,611 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Høj,"25,7%","32,32‰.","Der er 45.352 indbyggere i Vordingborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,32‰.",Til salg i alt: 69 dage,106 m²,Grund: 282 m²,Ejerudg.: 1.230 kr/md,3 værelser,Opført 1918,1 toilet,4760,https://www.boligsiden.dk/addresses/0a3f50b1-d0c3-32b8-e044-0003ba298018,,,,
"Vestervej 31,5935",3.995.000 kr.,Humble Skole,"8,05 km",6.1,3.7,Villa/Fritidsbolig,Energimærke E,Mellem,"26,3%","24,57‰.","Der er 12.316 indbyggere i Langeland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,57‰.",Til salg i alt: 69 dage,298 m²,Grund: 4732 m²,Ejerudg.: 946 kr/md,4 værelser,Opført 1951,2 toiletter,5935,https://www.boligsiden.dk/addresses/0a3f50b5-c5c1-32b8-e044-0003ba298018,,,,
"Rs. Hansens Alle 25,8850",1.495.000 kr.,Bjerringbro Skole,"1,6 km",7,3.5,Villa,Energimærke D,Mellem,"25,5%","23,7‰.","Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",Til salg i alt: 69 dage,166 m²,Grund: 1241 m²,Ejerudg.: 1.689 kr/md,4 værelser,Opført 1967,1 toilet,8850,https://www.boligsiden.dk/addresses/0a3f50c4-dbb1-32b8-e044-0003ba298018,,,,
"Krebseparken 61,6710",4.498.000 kr.,Fourfeldtskolen,689 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke A2010,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 250 dage,136 m²,Grund: 667 m²,Ejerudg.: 2.469 kr/md,5 værelser,Opført 1971,2 toiletter,6710,https://www.boligsiden.dk/addresses/0a3f50b9-0719-32b8-e044-0003ba298018,,,,
"Ellehammersvej 34,9430",1.695.000 kr.,Vadum Skole,481 m,7,3.6,Villa,Energimærke C,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 249 dage,119 m²,Grund: 1038 m²,Ejerudg.: 2.146 kr/md,5 værelser,Opført 1950,2 toiletter,9430,https://www.boligsiden.dk/addresses/0a3f50c9-eb1b-32b8-e044-0003ba298018,,,,
"Vilstrup Vestertoft 12,6100",2.495.000 kr.,Fællesskolen HoptrupMarstrupVilstrup,"4,21 km",6.6,3.7,Villa,Energimærke A2015,Høj,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 69 dage,177 m²,Grund: 967 m²,Ejerudg.: 1.569 kr/md,6 værelser,Opført 2008,2 toiletter,6100,https://www.boligsiden.dk/addresses/5661ca25-f449-25c4-e044-0003ba298018,,,,
"Hjortetakvej 44,8543",1.248.000 kr.,Ådalens Skole,"2,69 km",6.9,3.7,Villa,Energimærke F,Høj,"25,9%","33,8‰.","Der er 43.596 indbyggere i Syddjurs Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 33,8‰.",Til salg i alt: 69 dage,150 m²,Grund: 997 m²,Ejerudg.: 1.816 kr/md,4 værelser,Opført 1971,2 toiletter,8543,https://www.boligsiden.dk/addresses/0a3f50c1-5f8a-32b8-e044-0003ba298018,,,,
"Rådmand Steins Alle 19, 1. th.,2000",3.695.000 kr.,Søndermarkskolen,320 m,7.4,3.7,Ejerlejlighed,Energimærke D,Lav,"23,47%","24,75‰.","Der er 103.608 indbyggere i Frederiksberg Kommune. Kommuneskatten er på 23,47% og grundskyldspromillen på 24,75‰.",Til salg i alt: 226 dage,101 m²,,Ejerudg.: 4.186 kr/md,3 værelser,Opført 1956,1 toilet,2000,https://www.boligsiden.dk/addresses/0a3f50a2-bea9-32b8-e044-0003ba298018,Elevator: Ja,Altan: Ja,Terrasse: Nej,
"Odinsvej 28,4300",3.695.000 kr.,Absalon og Orø Skole,"2,13 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Høj,"25,3%","25,09‰.","Der er 72.810 indbyggere i Holbæk Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 25,09‰.",Til salg i alt: 69 dage,172 m²,Grund: 726 m²,Ejerudg.: 3.641 kr/md,6 værelser,Opført 1971,2 toiletter,4300,https://www.boligsiden.dk/addresses/0a3f50ad-5bed-32b8-e044-0003ba298018,,,,
"Roskildevej 266, 2. tv.,2610",2.495.000 kr.,Hendriksholm Skole,834 m,6.8,3.7,Ejerlejlighed,Energimærke E,Høj,"25,7%","30,8‰.","Der er 41.382 indbyggere i Rødovre Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 30,8‰.",Til salg i alt: 366 dage,91 m²,,Ejerudg.: 6.488 kr/md,4 værelser,Opført 1938,1 toilet,2610,https://www.boligsiden.dk/addresses/0a3f50a6-a28e-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Stenager 11,3550",3.095.000 kr.,Hanebjerg Skole,"3,78 km",7.7,3.7,Villa,Energimærke D,Høj,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 178 dage,167 m²,Grund: 819 m²,Ejerudg.: 3.265 kr/md,6 værelser,Opført 1969,2 toiletter,3550,https://www.boligsiden.dk/addresses/0a3f50aa-95b9-32b8-e044-0003ba298018,,,,
"Ålskovvej 25,7830",4.695.000 kr.,Vinderup Skole,"2,59 km",Ikke oplyst,Ikke oplyst,Landejendom,Energimærke C,Lav,"25,5%","24,12‰.","Der er 58.553 indbyggere i Holstebro Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 24,12‰.",Til salg i alt: 69 dage,238 m²,Grund: 97776 m²,Ejerudg.: 3.442 kr/md,5 værelser,Opført 2004,2 toiletter,7830,https://www.boligsiden.dk/addresses/0a3f50bf-53ba-32b8-e044-0003ba298018,,,,
"Nørholmsvej 274,9000",1.498.000 kr.,Frejlev Skole,"3,79 km",7.5,3.8,Villa,Energimærke D,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 240 dage,125 m²,Grund: 902 m²,Ejerudg.: 1.385 kr/md,4 værelser,Opført 1967,2 toiletter,9000,https://www.boligsiden.dk/addresses/0a3f50ca-7620-32b8-e044-0003ba298018,,,,
"Gyrstingevej 29,4100",1.945.000 kr.,Byskovskolen,"5,67 km",6.8,3.6,Villa,Energimærke F,Meget høj,"26,1%","24,74‰.","Der er 35.141 indbyggere i Ringsted Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 24,74‰.",Til salg i alt: 69 dage,127 m²,Grund: 1068 m²,Ejerudg.: 1.822 kr/md,4 værelser,Opført 1937,1 toilet,4100,https://www.boligsiden.dk/addresses/0a3f50ae-330e-32b8-e044-0003ba298018,,,,
"Egå Mosevej 67,8250",10.900.000 kr.,Sølystskolen,"1,87 km",8,3.8,Landejendom/Landejendom,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 69 dage,236 m²,Grund: 39525 m²,Ejerudg.: 5.954 kr/md,6 værelser,Opført 2006,2 toiletter,8250,https://www.boligsiden.dk/addresses/0a3f50c2-bbd3-32b8-e044-0003ba298018,,,,
"Sjællandsgade 44, 2. tv.,9000",1.150.000 kr.,Sønderbroskolen,484 m,7.2,3.8,Ejerlejlighed,Energimærke D,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 69 dage,63 m²,,Ejerudg.: 1.852 kr/md,2 værelser,Opført 1936,1 toilet,9000,https://www.boligsiden.dk/addresses/0a3f50ca-ab85-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Åkrogen 9,7980",995.000 kr.,Sydmors skole og Børnehus,829 m,5.9,3.9,Villa,Energimærke C,Mellem,"25,8%","24,68‰.","Der er 20.068 indbyggere i Morsø Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 24,68‰.",Til salg i alt: 582 dage,125 m²,Grund: 759 m²,Ejerudg.: 1.496 kr/md,5 værelser,Opført 2000,1 toilet,7980,https://www.boligsiden.dk/addresses/0a3f50c5-67df-32b8-e044-0003ba298018,,,,
"Lærkehøjen 14,6731",2.748.000 kr.,Tjæreborg Skole,870 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 69 dage,235 m²,Grund: 757 m²,Ejerudg.: 2.194 kr/md,6 værelser,Opført 1966,3 toiletter,6731,https://www.boligsiden.dk/addresses/0a3f50b9-0f73-32b8-e044-0003ba298018,,,,
"Sohngårdsholmsvej 109,9210",3.995.000 kr.,Solbakkeskolen,533 m,6.1,3.6,Villa,Energimærke C,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 69 dage,171 m²,Grund: 859 m²,Ejerudg.: 2.685 kr/md,6 værelser,Opført 1965,2 toiletter,9210,https://www.boligsiden.dk/addresses/0a3f50ca-b9a1-32b8-e044-0003ba298018,,,,
"Skovbrynet 8,7183",1.378.000 kr.,Firehøjeskolen,"3,21 km",7.4,3.8,Villa,Energimærke C,Mellem,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 69 dage,196 m²,Grund: 805 m²,Ejerudg.: 1.618 kr/md,7 værelser,Opført 1967,2 toiletter,7183,https://www.boligsiden.dk/addresses/0a3f50ba-7922-32b8-e044-0003ba298018,,,,
"Brovænget 20,4840",695.000 kr.,Nr. Vedby Skole & Børnehus,"2,69 km",6.4,3.6,Villa/Fritidsbolig,Energimærke G,Høj,"25,8%","32,34‰.","Der er 60.310 indbyggere i Guldborgsund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,34‰.",Til salg i alt: 69 dage,100 m²,Grund: 800 m²,Ejerudg.: 1.385 kr/md,4 værelser,Opført 1952,1 toilet,4840,https://www.boligsiden.dk/addresses/0a3f50b0-d7bd-32b8-e044-0003ba298018,,,,
"Valløvej 3,8930",1.695.000 kr.,Østervangsskolen,510 m,6.6,3.8,Villa,Energimærke D,Høj,"25,8%","27,93‰.","Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",Til salg i alt: 69 dage,125 m²,Grund: 615 m²,Ejerudg.: 2.035 kr/md,4 værelser,Opført 1963,2 toiletter,8930,https://www.boligsiden.dk/addresses/0a3f50c1-48f5-32b8-e044-0003ba298018,,,,
"Østervej 7,2690",6.995.000 kr.,Karlslunde Skole,254 m,7.2,3.8,Villa,Energimærke A2010,Høj,"24,42%","16,94‰.","Der er 50.818 indbyggere i Greve Kommune. Kommuneskatten er på 24,42% og grundskyldspromillen på 16,94‰.",Til salg i alt: 69 dage,210 m²,Grund: 985 m²,Ejerudg.: 4.036 kr/md,5 værelser,Opført 2009,2 toiletter,2690,https://www.boligsiden.dk/addresses/0a3f50ab-2d38-32b8-e044-0003ba298018,,,,
"Leopardvej 27,2610",5.995.000 kr.,Hendriksholm Skole,"1,32 km",6.8,3.7,Rækkehus,Energimærke D,Høj,"25,7%","30,8‰.","Der er 41.382 indbyggere i Rødovre Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 30,8‰.",Til salg i alt: 69 dage,122 m²,Grund: 217 m²,Ejerudg.: 4.687 kr/md,5 værelser,Opført 1948,1 toilet,2610,https://www.boligsiden.dk/addresses/0a3f50a6-9570-32b8-e044-0003ba298018,,,,
"Hasselholtvej 7,7830",1.395.000 kr.,Vinderup Skole,"1,6 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke E,Lav,"25,5%","24,12‰.","Der er 58.553 indbyggere i Holstebro Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 24,12‰.",Til salg i alt: 69 dage,158 m²,Grund: 19894 m²,Ejerudg.: 1.440 kr/md,5 værelser,Opført 1900,2 toiletter,7830,https://www.boligsiden.dk/addresses/0a3f50bf-470c-32b8-e044-0003ba298018,,,,
"Æblevej 2,8410",3.598.000 kr.,Rønde Skole,"3,02 km",7.1,3.7,Villa,Energimærke E,Høj,"25,9%","33,8‰.","Der er 43.596 indbyggere i Syddjurs Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 33,8‰.",Til salg i alt: 69 dage,145 m²,Grund: 955 m²,Ejerudg.: 1.772 kr/md,5 værelser,Opført 1962,2 toiletter,8410,https://www.boligsiden.dk/addresses/0a3f50c1-a383-32b8-e044-0003ba298018,,,,
"Pederstrupvænget 15,5270",1.725.000 kr.,Søhusskolen,968 m,7.3,3.7,Villa,Energimærke E,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 69 dage,101 m²,Grund: 718 m²,Ejerudg.: 1.718 kr/md,4 værelser,Opført 1968,1 toilet,5270,https://www.boligsiden.dk/addresses/0a3f50b4-8041-32b8-e044-0003ba298018,,,,
"Skivevej 74,7860",1.600.000 kr.,Vestsalling Skole og Dagtilbud Balling,"2,71 km",6.8,3.7,Villa,Energimærke D,Høj,"25,5%","20,68‰.","Der er 45.078 indbyggere i Skive Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 20,68‰.",Til salg i alt: 69 dage,165 m²,Grund: 14534 m²,Ejerudg.: 2.158 kr/md,7 værelser,Opført 1956,2 toiletter,7860,https://www.boligsiden.dk/addresses/0a3f50c5-ceb9-32b8-e044-0003ba298018,,,,
"Hurdlevej 4,2930",21.000.000 kr.,Skovgårdsskolen,745 m,8.6,3.9,Villa,Energimærke D,Mellem,"24,17%",16‰.,"Der er 74.217 indbyggere i Gentofte Kommune. Kommuneskatten er på 24,17% og grundskyldspromillen på 16‰.",Til salg i alt: 69 dage,246 m²,Grund: 1158 m²,Ejerudg.: 12.459 kr/md,8 værelser,Opført 1934,3 toiletter,2930,https://www.boligsiden.dk/addresses/0a3f50a3-cb32-32b8-e044-0003ba298018,,,,
"Thistedvej 8,9690",725.000 kr.,Fjerritslev Skole,813 m,6.4,3.6,Villa,Energimærke D,Lav,"25,7%","32,85‰.","Der er 38.187 indbyggere i Jammerbugt Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,85‰.",Til salg i alt: 69 dage,128 m²,Grund: 1268 m²,Ejerudg.: 1.207 kr/md,3 værelser,Opført 1949,1 toilet,9690,https://www.boligsiden.dk/addresses/0a3f50c7-46c4-32b8-e044-0003ba298018,,,,
"Østervej 6,5935",695.000 kr.,Humble Skole,"7,73 km",6.1,3.7,Villa/Fritidsbolig,Energimærke D,Mellem,"26,3%","24,57‰.","Der er 12.316 indbyggere i Langeland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,57‰.",Til salg i alt: 69 dage,112 m²,Grund: 1213 m²,Ejerudg.: 974 kr/md,4 værelser,Opført 1966,1 toilet,5935,https://www.boligsiden.dk/addresses/0a3f50b5-c714-32b8-e044-0003ba298018,,,,
"Pebermyntevej 51, 1. tv.,8800",845.000 kr.,Vestervang Skole,104 m,6.9,3.7,Ejerlejlighed,Energimærke C,Høj,"25,5%","23,7‰.","Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",Til salg i alt: 69 dage,98 m²,,Ejerudg.: 1.853 kr/md,4 værelser,Opført 1970,1 toilet,8800,https://www.boligsiden.dk/addresses/0a3f50c6-8c5d-32b8-e044-0003ba298018,Elevator: Nej,Altan: Ja,Terrasse: Nej,
"Blodbøgen 14,8960",2.595.000 kr.,Assentoftskolen,"1,2 km",7.3,3.8,Villa,Energimærke C,Mellem,"25,8%","27,93‰.","Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",Til salg i alt: 69 dage,168 m²,Grund: 1016 m²,Ejerudg.: 2.190 kr/md,5 værelser,Opført 2008,2 toiletter,8960,https://www.boligsiden.dk/addresses/22729a66-aa06-44d0-e044-0003ba298018,,,,
"Hostrupsvej 10,5230",7.995.000 kr.,Munkebjergskolen,"1,15 km",7.4,3.8,Villa,Energimærke C,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 463 dage,199 m²,Grund: 478 m²,Ejerudg.: 4.754 kr/md,7 værelser,Opført 1928,2 toiletter,5230,https://www.boligsiden.dk/addresses/0a3f50b4-0a5b-32b8-e044-0003ba298018,,,,
"Stationsvej 6,7550",3.695.000 kr.,Sørvad-Ørnhøj Skole,929 m,7,3.8,Villa,Energimærke C,Lav,"24,9%","20,53‰.","Der er 89.230 indbyggere i Herning Kommune. Kommuneskatten er på 24,9% og grundskyldspromillen på 20,53‰.",Til salg i alt: 69 dage,250 m²,Grund: 8590 m²,Ejerudg.: 1.741 kr/md,7 værelser,Opført 1924,2 toiletter,7550,https://www.boligsiden.dk/addresses/0a3f50bf-14ee-32b8-e044-0003ba298018,,,,
"Nakkedamsvej 5,4070",2.995.000 kr.,Kirke Hyllinge Skole,"2,65 km",6.9,3.6,Villa,Energimærke F,Høj,"25,31%","28,23‰.","Der er 28.623 indbyggere i Lejre Kommune. Kommuneskatten er på 25,31% og grundskyldspromillen på 28,23‰.",Til salg i alt: 69 dage,197 m²,Grund: 2380 m²,Ejerudg.: 3.408 kr/md,8 værelser,Opført 1938,2 toiletter,4070,https://www.boligsiden.dk/addresses/0a3f50aa-d549-32b8-e044-0003ba298018,,,,
"Sundbylillevej 14,3550",2.250.000 kr.,Slangerup Skole,"2,04 km",6.9,3.7,Villa,Energimærke D,Høj,"25,8%","32,5‰.","Der er 45.800 indbyggere i Frederikssund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,5‰.",Til salg i alt: 69 dage,114 m²,Grund: 913 m²,Ejerudg.: 3.540 kr/md,4 værelser,Opført 1969,1 toilet,3550,https://www.boligsiden.dk/addresses/0a3f50aa-95e9-32b8-e044-0003ba298018,,,,
"Købkesvej 28,9000",2.295.000 kr.,Vejgaard Østre Skole,"1,14 km",7.3,3.8,Rækkehus,Energimærke C,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 69 dage,100 m²,Grund: 264 m²,Ejerudg.: 2.756 kr/md,4 værelser,Opført 1957,1 toilet,9000,https://www.boligsiden.dk/addresses/0a3f50ca-4a7a-32b8-e044-0003ba298018,,,,
"Sønderstrupvej 185,4360",1.895.000 kr.,Tølløse Skole,"4,57 km",6.8,3.6,Villa,Energimærke D,Høj,"25,3%","25,09‰.","Der er 72.810 indbyggere i Holbæk Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 25,09‰.",Til salg i alt: 69 dage,168 m²,Grund: 1375 m²,Ejerudg.: 2.284 kr/md,6 værelser,Opført 1926,3 toiletter,4360,https://www.boligsiden.dk/addresses/0a3f50af-68a3-32b8-e044-0003ba298018,,,,
"Urvej 8,8450",1.595.000 kr.,Skovvangskolen,608 m,7.1,3.7,Villa,Energimærke C,Høj,"25,7%","23,32‰.","Der er 48.880 indbyggere i Favrskov Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,32‰.",Til salg i alt: 69 dage,101 m²,Grund: 822 m²,Ejerudg.: 2.273 kr/md,3 værelser,Opført 1952,2 toiletter,8450,https://www.boligsiden.dk/addresses/0a3f50c0-1278-32b8-e044-0003ba298018,,,,
"Elmevej 6,4230",2.295.000 kr.,Dalmose skole,"8,13 km",5.8,3.7,Villa,Energimærke C,Høj,"25,6%","25,3‰.","Der er 79.691 indbyggere i Slagelse Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 25,3‰.",Til salg i alt: 69 dage,232 m²,Grund: 965 m²,Ejerudg.: 2.926 kr/md,7 værelser,Opført 1967,3 toiletter,4230,https://www.boligsiden.dk/addresses/0a3f50ae-62b1-32b8-e044-0003ba298018,,,,
