,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Ejerudgift,Elevator,Rooms,Build,Toilets,Altan,Terasse,Postal code,link,Grund,Toilet
"Ålstrupvej 9,2500",10.000.000 kr.,Ålholm Skole,650 m,6.6,3.7,Villa,Energimærke D,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 46 dage,143 m²,Ejerudg.: 5.663 kr/md,,5 værelser,Opført 1934,1 toilet,,,2500,https://www.boligsiden.dk/addresses/0a3f50a1-fba4-32b8-e044-0003ba298018,Grund: 535 m²,
"Klostermarken 10,9000",5.995.000 kr.,Vesterkærets Skole,"1,29 km",7,3.7,Villa,Energimærke E,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 46 dage,225 m²,Ejerudg.: 4.085 kr/md,,6 værelser,Opført 1900,2 toiletter,,,9000,https://www.boligsiden.dk/addresses/0a3f50ca-3fef-32b8-e044-0003ba298018,Grund: 614 m²,
"Bekkasinvej 1C,8270",9.395.000 kr.,Skåde Skole,"1,17 km",8.2,3.9,Ejerlejlighed,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 46 dage,143 m²,Ejerudg.: 4.589 kr/md,Elevator: Nej,5 værelser,Opført 1974,2 toiletter,Altan: Ja,Terrasse: Ja,8270,https://www.boligsiden.dk/addresses/0a3f50c2-79ca-32b8-e044-0003ba298018,,
"Fredensgade 7,8870",765.000 kr.,Langå Skole,"1,4 km",6.8,3.6,Rækkehus,Energimærke C,Høj,"25,8%","27,93‰.","Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",Til salg i alt: 46 dage,79 m²,Ejerudg.: 1.483 kr/md,,2 værelser,Opført 1982,1 toilet,,,8870,https://www.boligsiden.dk/addresses/0a3f50c0-3bb9-32b8-e044-0003ba298018,Grund: 110 m²,
"Kærsangervænget 9,5210",4.945.000 kr.,Paarup Skole,"1,26 km",7.4,3.7,Villa,Energimærke D,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 46 dage,160 m²,Ejerudg.: 2.600 kr/md,,5 værelser,Opført 1967,2 toiletter,,,5210,https://www.boligsiden.dk/addresses/0a3f50b4-3ddb-32b8-e044-0003ba298018,Grund: 1530 m²,
"Sv. Grathes Vej 14,8620",725.000 kr.,Thorning Skole,289 m,6.8,3.6,Villa,Energimærke E,Mellem,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 46 dage,159 m²,Ejerudg.: 1.430 kr/md,,5 værelser,Opført 1966,1 toilet,,,8620,https://www.boligsiden.dk/addresses/0a3f50c5-305b-32b8-e044-0003ba298018,Grund: 753 m²,
"Grønsundvej 21,4780",1.550.000 kr.,Møn skole,"2,46 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Meget høj,"25,7%","32,32‰.","Der er 45.352 indbyggere i Vordingborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,32‰.",Til salg i alt: 46 dage,93 m²,Ejerudg.: 2.016 kr/md,,3 værelser,Opført 1964,1 toilet,,,4780,https://www.boligsiden.dk/addresses/0a3f50af-e0e4-32b8-e044-0003ba298018,Grund: 1127 m²,
"Birkevej 7,9300",1.095.000 kr.,Sæbygårdskolen,"3,53 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Lav,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 46 dage,202 m²,Ejerudg.: 1.923 kr/md,,5 værelser,Opført 1969,2 toiletter,,,9300,https://www.boligsiden.dk/addresses/0a3f50c9-74b8-32b8-e044-0003ba298018,Grund: 908 m²,
"Irisparken 31,7430",2.695.000 kr.,Hyldgårdsskolen,273 m,7.3,3.9,Villa,Energimærke B,Lav,"25,1%","20,35‰.","Der er 41.885 indbyggere i Ikast-Brande Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 20,35‰.",Til salg i alt: 46 dage,172 m²,Ejerudg.: 2.098 kr/md,,5 værelser,Opført 1975,2 toiletter,,,7430,https://www.boligsiden.dk/addresses/0a3f50be-4767-32b8-e044-0003ba298018,Grund: 1159 m²,
"Fregatvej 7,6720",1.898.000 kr.,Fanø Skole,737 m,7.5,3.7,Rækkehus,Energimærke C,Meget lav,"25,66%",34‰.,"Der er 3.427 indbyggere i Fanø Kommune. Kommuneskatten er på 25,66% og grundskyldspromillen på 34‰.",Til salg i alt: 326 dage,112 m²,Ejerudg.: 2.797 kr/md,,4 værelser,Opført 1879,1 toilet,,,6720,https://www.boligsiden.dk/addresses/0a3f50b9-6a56-32b8-e044-0003ba298018,Grund: 279 m²,
"Møllevej 4,4070",2.295.000 kr.,Kirke Hyllinge Skole,520 m,6.9,3.6,Villa,Energimærke E,Høj,"25,31%","28,23‰.","Der er 28.623 indbyggere i Lejre Kommune. Kommuneskatten er på 25,31% og grundskyldspromillen på 28,23‰.",Til salg i alt: 46 dage,208 m²,Ejerudg.: 2.592 kr/md,,7 værelser,Opført 1965,3 toiletter,,,4070,https://www.boligsiden.dk/addresses/0a3f50aa-d503-32b8-e044-0003ba298018,Grund: 927 m²,
"Olymposvej 11,9270",1.798.000 kr.,Klarup Skole,350 m,7.3,3.8,Rækkehus,Energimærke B,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 46 dage,104 m²,Ejerudg.: 1.777 kr/md,,5 værelser,Opført 1976,2 toiletter,,,9270,https://www.boligsiden.dk/addresses/0a3f50ca-7ac5-32b8-e044-0003ba298018,Grund: 259 m²,
"Toftegade 2,9670",1.125.000 kr.,Løgstør Skole,995 m,7.1,3.8,Villa,Energimærke B,Mellem,"26,3%","22,82‰.","Der er 36.326 indbyggere i Vesthimmerlands Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 22,82‰.",Til salg i alt: 46 dage,106 m²,Ejerudg.: 1.209 kr/md,,4 værelser,Opført 1900,2 toiletter,,,9670,https://www.boligsiden.dk/addresses/0a3f50c8-92a5-32b8-e044-0003ba298018,Grund: 370 m²,
"Sct. Jørgens Gade 27,6000",2.495.000 kr.,Aalykkeskolen,312 m,7.2,3.8,Rækkehus,Energimærke B,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 340 dage,111 m²,Ejerudg.: 2.164 kr/md,,4 værelser,Opført 1896,2 toiletter,,,6000,https://www.boligsiden.dk/addresses/0a3f50bc-34ee-32b8-e044-0003ba298018,Grund: 213 m²,
"Frihedsvej 17,3630",4.195.000 kr.,Jægerspris Skole,"1,67 km",6.8,3.6,Villa,Energimærke E,Mellem,"25,8%","32,5‰.","Der er 45.800 indbyggere i Frederikssund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,5‰.",Til salg i alt: 46 dage,136 m²,Ejerudg.: 4.872 kr/md,,4 værelser,Opført 1986,1 toilet,,,3630,https://www.boligsiden.dk/addresses/0a3f50aa-359c-32b8-e044-0003ba298018,Grund: 1169 m²,
"Villavej 2,8963",575.000 kr.,Auning Skole,"3,97 km",6.6,3.6,Villa,Energimærke E,Mellem,26%,34‰.,Der er 36.921 indbyggere i Norddjurs Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 34‰.,Til salg i alt: 46 dage,106 m²,Ejerudg.: 1.066 kr/md,,4 værelser,Opført 1965,1 toilet,,,8963,https://www.boligsiden.dk/addresses/0a3f50c1-7e9f-32b8-e044-0003ba298018,Grund: 805 m²,
"Nyvej 18,7840",1.095.000 kr.,Højslev Skole,164 m,7.5,3.7,Villa,Energimærke C,Mellem,"25,5%","20,68‰.","Der er 45.078 indbyggere i Skive Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 20,68‰.",Til salg i alt: 46 dage,125 m²,Ejerudg.: 1.246 kr/md,,4 værelser,Opført 1952,3 toiletter,,,7840,https://www.boligsiden.dk/addresses/0a3f50c5-ab49-32b8-e044-0003ba298018,Grund: 1034 m²,
"Grønnegade 18,6600",2.895.000 kr.,Grønvangskolen,868 m,7.2,3.8,Villa,Energimærke D,Høj,"25,33%","20,36‰.","Der er 42.596 indbyggere i Vejen Kommune. Kommuneskatten er på 25,33% og grundskyldspromillen på 20,36‰.",Til salg i alt: 46 dage,213 m²,Ejerudg.: 2.362 kr/md,,5 værelser,Opført 1927,2 toiletter,,,6600,https://www.boligsiden.dk/addresses/0a3f50ba-105a-32b8-e044-0003ba298018,Grund: 1581 m²,
"Aastrupvej 65C,6100",2.045.000 kr.,Fællesskolen Favrdal-Fjelstrup,700 m,7.4,3.7,Rækkehus,Energimærke B,Høj,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 46 dage,108 m²,Ejerudg.: 2.519 kr/md,,4 værelser,Opført 2004,1 toilet,,,6100,https://www.boligsiden.dk/addresses/0a3f50b6-a693-32b8-e044-0003ba298018,Grund: 6051 m²,
"Ternevej 2,9000",1.995.000 kr.,Sønderbroskolen,1.000 m,7.2,3.8,Villa,Energimærke D,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 46 dage,87 m²,Ejerudg.: 2.054 kr/md,,3 værelser,Opført 1948,2 toiletter,,,9000,https://www.boligsiden.dk/addresses/0a3f50ca-d7ce-32b8-e044-0003ba298018,Grund: 750 m²,
"Vemmetoftevej 11,2665",5.195.000 kr.,Egholmskolen,711 m,7.2,3.7,Villa,Energimærke C,Mellem,"25,6%","24,38‰.","Der er 16.488 indbyggere i Vallensbæk Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 24,38‰.",Til salg i alt: 46 dage,155 m²,Ejerudg.: 4.580 kr/md,,6 værelser,Opført 1973,2 toiletter,,,2665,https://www.boligsiden.dk/addresses/0a3f50a7-919d-32b8-e044-0003ba298018,Grund: 698 m²,
"Egelund 9,6340",2.895.000 kr.,Lyreskovskolen,"5,1 km",6.5,3.6,Villa,Energimærke C,Høj,"25,6%","18,9‰.","Der er 58.693 indbyggere i Aabenraa Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 18,9‰.",Til salg i alt: 46 dage,226 m²,Ejerudg.: 1.696 kr/md,,5 værelser,Opført 2007,2 toiletter,,,6340,https://www.boligsiden.dk/addresses/39ff92cd-ece6-0991-e044-0003ba298018,Grund: 2798 m²,
"Helge Rodes Vej 13A, kl.,8210",1.098.000 kr.,Møllevangskolen,221 m,6.8,3.7,Ejerlejlighed,Energimærke D,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 234 dage,30 m²,Ejerudg.: 1.281 kr/md,Elevator: Nej,1 værelser,Opført 1946,1 toilet,Altan: Nej,Terrasse: Nej,8210,https://www.boligsiden.dk/addresses/0a3f50c3-19a4-32b8-e044-0003ba298018,,
"Spurvevej 8,5471",1.395.000 kr.,Glavendrupskolen,500 m,6.7,3.7,Villa,Energimærke F,Høj,26%,"29,98‰.","Der er 29.714 indbyggere i Nordfyns Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 29,98‰.",Til salg i alt: 161 dage,142 m²,Ejerudg.: 1.755 kr/md,,4 værelser,Opført 1970,2 toiletter,,,5471,https://www.boligsiden.dk/addresses/0a3f50b5-d68a-32b8-e044-0003ba298018,Grund: 798 m²,
"Sønder Tirslundvej 8,6670",1.595.000 kr.,Højmarkskolen,"3,67 km",6.4,3.7,Villa,Energimærke A2010,Lav,"25,33%","20,36‰.","Der er 42.596 indbyggere i Vejen Kommune. Kommuneskatten er på 25,33% og grundskyldspromillen på 20,36‰.",Til salg i alt: 46 dage,115 m²,Ejerudg.: 2.077 kr/md,,4 værelser,Opført 1911,1 toilet,,,6670,https://www.boligsiden.dk/addresses/0a3f50b9-b504-32b8-e044-0003ba298018,Grund: 12341 m²,
"Marselis Boulevard 28, 7. 3.,8000",2.448.000 kr.,Frederiksbjerg Skole,434 m,7.7,3.7,Ejerlejlighed,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 398 dage,78 m²,Ejerudg.: 2.641 kr/md,Elevator: Nej,2 værelser,Opført 1959,1 toilet,Altan: Nej,Terrasse: Nej,8000,https://www.boligsiden.dk/addresses/0a3f50c3-9cc2-32b8-e044-0003ba298018,,
"Åvej 5b,4000",4.250.000 kr.,Himmelev Skole,615 m,8.1,3.8,Villa,Energimærke E,Ukendt,"25,2%","25,69‰.","Der er 89.447 indbyggere i Roskilde Kommune. Kommuneskatten er på 25,2% og grundskyldspromillen på 25,69‰.",Til salg i alt: 46 dage,152 m²,Ejerudg.: 5.047 kr/md,,5 værelser,Opført 1924,-,,,4000,https://www.boligsiden.dk/addresses/7c21712c-c004-40e7-8c79-07717ca70045,Grund: 653 m²,
"Lillevej 21,9260",2.849.000 kr.,"Gistrup Skole, afdeling Hadsundvej","2,82 km",7.7,3.8,Villa/Landejendom,Energimærke B,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 172 dage,152 m²,Ejerudg.: 1.467 kr/md,,5 værelser,Opført 1926,1 toilet,,,9260,https://www.boligsiden.dk/addresses/0a3f50ca-5247-32b8-e044-0003ba298018,Grund: 11059 m²,
"Faurskovvej 6,8370",5.600.000 kr.,Østervangskolen,"2,11 km",7.3,3.7,Villa,Energimærke A2020,Høj,"25,7%","23,32‰.","Der er 48.880 indbyggere i Favrskov Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,32‰.",Til salg i alt: 498 dage,165 m²,Ejerudg.: 2.818 kr/md,,5 værelser,Opført 2023,2 toiletter,,,8370,https://www.boligsiden.dk/addresses/0a3f50bf-efce-32b8-e044-0003ba298018,Grund: 16304 m²,
"Bystedparken 9,7080",2.995.000 kr.,Fælleshåbsskolen,"2,93 km",7.2,3.8,Villa,Energimærke B,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 46 dage,185 m²,Ejerudg.: 1.785 kr/md,,5 værelser,Opført 1997,2 toiletter,,,7080,https://www.boligsiden.dk/addresses/0a3f50ba-51ab-32b8-e044-0003ba298018,Grund: 957 m²,
"Jyllandsgade 21A,9600",1.695.000 kr.,Aars Skole,260 m,6.5,3.8,Ejerlejlighed,Energimærke C,Ukendt,"26,3%","22,82‰.","Der er 36.326 indbyggere i Vesthimmerlands Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 22,82‰.",Til salg i alt: 46 dage,135 m²,Ejerudg.: 1.412 kr/md,Elevator: Nej,3 værelser,Opført 1990,-,Altan: Ja,Terrasse: Nej,9600,https://www.boligsiden.dk/addresses/d9b3950a-6a44-44c8-a299-9c6c942c9be0,,
"Parkvej 15,6261",745.000 kr.,Bredebro Filialskole,"6,48 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke E,Meget lav,"25,3%","21,24‰.","Der er 36.849 indbyggere i Tønder Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 21,24‰.",Til salg i alt: 46 dage,130 m²,Ejerudg.: 1.159 kr/md,,4 værelser,Opført 1940,1 toilet,,,6261,https://www.boligsiden.dk/addresses/0a3f50b6-61dd-32b8-e044-0003ba298018,Grund: 800 m²,
"Havnevej 89, st. th.,4500",2.495.000 kr.,Højby Skole,"4,98 km",6.5,3.6,Ejerlejlighed/Fritidsbolig,Energimærke A2010,Lav,"26,3%",34‰.,"Der er 32.881 indbyggere i Odsherred Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 34‰.",Til salg i alt: 194 dage,91 m²,Ejerudg.: 3.034 kr/md,Elevator: Nej,3 værelser,Opført 2005,2 toiletter,Altan: Nej,Terrasse: Nej,4500,https://www.boligsiden.dk/addresses/0a3f50ae-0687-32b8-e044-0003ba298018,,
"Tværgade 11, 2.,8600",3.395.000 kr.,Vestre Skole,"1,03 km",7.5,3.7,Ejerlejlighed/Villalejlighed,Energimærke C,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 447 dage,138 m²,Ejerudg.: 2.590 kr/md,Elevator: Nej,3 værelser,Opført 1890,1 toilet,Altan: Nej,Terrasse: Nej,8600,https://www.boligsiden.dk/addresses/0a3f50c2-11c2-32b8-e044-0003ba298018,,
"Skipperstræde 6,5610",895.000 kr.,Peter Willemoesskolen,830 m,6.6,3.6,Villa,Energimærke C,Mellem,"26,1%","22,12‰.","Der er 40.972 indbyggere i Assens Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,12‰.",Til salg i alt: 694 dage,102 m²,Ejerudg.: 1.185 kr/md,,3 værelser,Opført 1900,1 toilet,,,5610,https://www.boligsiden.dk/addresses/0a3f50b2-51cb-32b8-e044-0003ba298018,Grund: 177 m²,
"Taarsbakken 7,3230",1.575.000 kr.,Gribskolen  Græsted,"4,53 km",6.5,3.6,Villa,Energimærke D,Lav,"25,4%","29,34‰.","Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",Til salg i alt: 46 dage,105 m²,Ejerudg.: 2.202 kr/md,,3 værelser,Opført 1966,1 toilet,,,3230,https://www.boligsiden.dk/addresses/0a3f50a8-e2c8-32b8-e044-0003ba298018,Grund: 1262 m²,
"Byvænget 4,4573",1.745.000 kr.,Højby Skole,431 m,6.5,3.6,Villa,Energimærke C,Høj,"26,3%",34‰.,"Der er 32.881 indbyggere i Odsherred Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 34‰.",Til salg i alt: 46 dage,130 m²,Ejerudg.: 1.435 kr/md,,7 værelser,Opført 1972,2 toiletter,,,4573,https://www.boligsiden.dk/addresses/0a3f50af-1e97-32b8-e044-0003ba298018,Grund: 755 m²,
"Fænøsund Park 11, 2. 12.,5500",2.850.000 kr.,Vestre Skole,981 m,7.1,3.8,Ejerlejlighed,Energimærke A2015,Høj,"25,8%","21,29‰.","Der er 39.603 indbyggere i Middelfart Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 21,29‰.",Til salg i alt: 46 dage,81 m²,Ejerudg.: 2.717 kr/md,Elevator: Ja,3 værelser,Opført 2022,1 toilet,Altan: Ja,Terrasse: Nej,5500,https://www.boligsiden.dk/addresses/5636ee9f-ceb3-4bbc-9391-60adaa10a5d5,,
"Sundsørevej 101,7870",1.095.000 kr.,Nordøstsalling Skoler og Dagtilbud Breum,"3,72 km",6.8,3.7,Villa,Energimærke C,Mellem,"25,5%","20,68‰.","Der er 45.078 indbyggere i Skive Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 20,68‰.",Til salg i alt: 46 dage,182 m²,Ejerudg.: 1.572 kr/md,,5 værelser,Opført 2006,2 toiletter,,,7870,https://www.boligsiden.dk/addresses/0a3f50c5-e0db-32b8-e044-0003ba298018,Grund: 2120 m²,
"Orenæsvej 9,4700",1.495.000 kr.,Sct. Jørgens Skole,436 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Høj,25%,25‰.,Der er 83.801 indbyggere i Næstved Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 46 dage,118 m²,Ejerudg.: 2.425 kr/md,,4 værelser,Opført 1959,1 toilet,,,4700,https://www.boligsiden.dk/addresses/0a3f50b0-aa46-32b8-e044-0003ba298018,Grund: 752 m²,
"Vestre Havnevej 8,4583",1.595.000 kr.,Højby Skole,"16,12 km",6.5,3.6,Villa,Energimærke D,Høj,"26,3%",34‰.,"Der er 32.881 indbyggere i Odsherred Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 34‰.",Til salg i alt: 294 dage,136 m²,Ejerudg.: 2.040 kr/md,,4 værelser,Opført 1977,2 toiletter,,,4583,https://www.boligsiden.dk/addresses/0a3f50af-579e-32b8-e044-0003ba298018,Grund: 471 m²,
"Stevnshøjvej 2,5800",595.000 kr.,4kløverskolen,"5,18 km",6.7,3.7,Villa,Energimærke E,Høj,"26,3%","27,83‰.","Der er 32.098 indbyggere i Nyborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 27,83‰.",Til salg i alt: 238 dage,189 m²,Ejerudg.: 1.522 kr/md,,5 værelser,Opført 1931,1 toilet,,,5800,https://www.boligsiden.dk/addresses/0a3f50b3-6c1d-32b8-e044-0003ba298018,Grund: 1048 m²,
"Refsvindinge Byvej 16,5853",2.995.000 kr.,4kløverskolen,"3,56 km",6.7,3.7,Landejendom,Energimærke D,Høj,"26,3%","27,83‰.","Der er 32.098 indbyggere i Nyborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 27,83‰.",Til salg i alt: 46 dage,213 m²,Ejerudg.: 3.266 kr/md,,9 værelser,Opført 1896,1 toilet,,,5853,https://www.boligsiden.dk/addresses/0a3f50b6-1dbc-32b8-e044-0003ba298018,Grund: 30750 m²,
"Ketting Parkvej 47,8462",5.198.000 kr.,Næshøjskolen,"1,09 km",7.1,3.7,Villa,Energimærke A2010,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 46 dage,210 m²,Ejerudg.: 3.110 kr/md,,7 værelser,Opført 2009,2 toiletter,,,8462,https://www.boligsiden.dk/addresses/5e5011b7-eefe-58be-e044-0003ba298018,Grund: 809 m²,
"Lille Dalby Ager 21,8722",3.595.000 kr.,Hedensted Skole,"1,93 km",7.2,3.9,Villa,Energimærke A2015,Meget høj,"25,52%",18‰.,"Der er 47.099 indbyggere i Hedensted Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 18‰.",Til salg i alt: 46 dage,151 m²,Ejerudg.: 2.486 kr/md,,5 værelser,Opført 2022,2 toiletter,,,8722,https://www.boligsiden.dk/addresses/49968271-c71e-46c3-905c-d9339d1a4da1,Grund: 784 m²,
"Solbjerg Hovedgade 97,8355",1.448.000 kr.,Solbjergskolen,649 m,7.4,3.7,Rækkehus,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 46 dage,66 m²,Ejerudg.: 1.430 kr/md,,2 værelser,Opført 1985,1 toilet,,,8355,https://www.boligsiden.dk/addresses/0a3f50c4-4595-32b8-e044-0003ba298018,Grund: 2434 m²,
"Ljørringvej 15,7490",595.000 kr.,Aulum-Hodsager Skole,"2,32 km",7.4,3.8,Villa,Energimærke E,Lav,"24,9%","20,53‰.","Der er 89.230 indbyggere i Herning Kommune. Kommuneskatten er på 24,9% og grundskyldspromillen på 20,53‰.",Til salg i alt: 424 dage,140 m²,Ejerudg.: 1.178 kr/md,,4 værelser,Opført 1906,1 toilet,,,7490,https://www.boligsiden.dk/addresses/0a3f50bd-1977-32b8-e044-0003ba298018,Grund: 849 m²,
"Lyngbyvej 186,9480",1.245.000 kr.,Løkken undervisningssted,"4,08 km",Ikke oplyst,Ikke oplyst,Villa/Fritidsbolig,Energimærke G,Lav,"26,21%",34‰.,"Der er 63.839 indbyggere i Hjørring Kommune. Kommuneskatten er på 26,21% og grundskyldspromillen på 34‰.",Til salg i alt: 134 dage,138 m²,Ejerudg.: 1.452 kr/md,,5 værelser,Opført 1923,1 toilet,,,9480,https://www.boligsiden.dk/addresses/0a3f50c8-a2a8-32b8-e044-0003ba298018,Grund: 866 m²,
"Bellevue 7,5900",945.000 kr.,Ørstedskolen,"1,84 km",Ikke oplyst,Ikke oplyst,Rækkehus/Fritidsbolig,Energimærke D,Høj,"26,3%","24,57‰.","Der er 12.316 indbyggere i Langeland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,57‰.",Til salg i alt: 46 dage,112 m²,Ejerudg.: 1.145 kr/md,,3 værelser,Opført 1883,1 toilet,,,5900,https://www.boligsiden.dk/addresses/0a3f50b5-3f7c-32b8-e044-0003ba298018,Grund: 173 m²,
"Værslev Bygade 2,4400",1.395.000 kr.,Svebølle Skole,"4,88 km",5.9,3.5,Villa,Energimærke A2010,Meget høj,"24,2%",34‰.,"Der er 48.368 indbyggere i Kalundborg Kommune. Kommuneskatten er på 24,2% og grundskyldspromillen på 34‰.",Til salg i alt: 46 dage,146 m²,Ejerudg.: 1.366 kr/md,,4 værelser,Opført 1877,1 toilet,,,4400,https://www.boligsiden.dk/addresses/0a3f50ad-7f52-32b8-e044-0003ba298018,Grund: 1812 m²,
"Tværvej 4,6510",495.000 kr.,Gram Skole,"6,71 km",6.4,3.6,Villa,Energimærke D,Mellem,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 46 dage,107 m²,Ejerudg.: 878 kr/md,,3 værelser,Opført 1963,1 toilet,,,6510,https://www.boligsiden.dk/addresses/0a3f50b6-915a-32b8-e044-0003ba298018,Grund: 1025 m²,
"Tværbjerg 14,6100",695.000 kr.,Starup-Øsby Skole og Børnehus,"7,08 km",6.4,3.8,Rækkehus,Energimærke D,Høj,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 772 dage,110 m²,Ejerudg.: 1.148 kr/md,,4 værelser,Opført 1820,1 toilet,,,6100,https://www.boligsiden.dk/addresses/0a3f50b6-e64b-32b8-e044-0003ba298018,Grund: 363 m²,
"Linde Alle 6A,5700",4.495.000 kr.,Vestre Skole,943 m,5.9,3.7,Villa,Energimærke C,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 46 dage,196 m²,Ejerudg.: 2.464 kr/md,,5 værelser,Opført 1907,3 toiletter,,,5700,https://www.boligsiden.dk/addresses/0a3f50b5-875a-32b8-e044-0003ba298018,Grund: 581 m²,
"Byenden 8,4660",995.000 kr.,Store Heddinge Skole,"2,39 km",6.5,3.6,Villa,Energimærke E,Høj,26%,"21,52‰.","Der er 23.473 indbyggere i Stevns Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 21,52‰.",Til salg i alt: 46 dage,103 m²,Ejerudg.: 1.488 kr/md,,5 værelser,Opført 1900,2 toiletter,,,4660,https://www.boligsiden.dk/addresses/0a3f50b1-4a6d-32b8-e044-0003ba298018,Grund: 1833 m²,
