,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Ejerudgift,Elevator,Rooms,Build,Toilets,Altan,Terasse,Postal code,link,Grund,Toilet
"Toftevej 4,4000",5.850.000 kr.,Trællerupskolen,"2,11 km",7.5,3.6,Villa,Energimærke A2015,Høj,"25,31%","28,23‰.","Der er 28.623 indbyggere i Lejre Kommune. Kommuneskatten er på 25,31% og grundskyldspromillen på 28,23‰.",Til salg i alt: 201 dage,205 m²,Ejerudg.: 3.582 kr/md,,7 værelser,Opført 1962,2 toiletter,,,4000,https://www.boligsiden.dk/addresses/0a3f50ab-afa0-32b8-e044-0003ba298018,Grund: 703 m²,
"Roersvej 13, st. tv.,5000",1.995.000 kr.,Vestre Skole,98 m,7.3,3.7,Ejerlejlighed,Energimærke D,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 45 dage,64 m²,Ejerudg.: 2.576 kr/md,Elevator: Nej,2 værelser,Opført 1902,1 toilet,Altan: Nej,Terrasse: Nej,5000,https://www.boligsiden.dk/addresses/0a3f50b4-8ffe-32b8-e044-0003ba298018,,
"Øvangsvej 27,4540",2.995.000 kr.,Fårevejle Skole,758 m,Ikke oplyst,Ikke oplyst,Landejendom/Landejendom,Energimærke F,Høj,"26,3%",34‰.,"Der er 32.881 indbyggere i Odsherred Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 34‰.",Til salg i alt: 45 dage,109 m²,Ejerudg.: 3.529 kr/md,,4 værelser,Opført 1921,1 toilet,,,4540,https://www.boligsiden.dk/addresses/0a3f50ac-d7d3-32b8-e044-0003ba298018,Grund: 56493 m²,
"Nærheden 3,8670",2.995.000 kr.,Låsby Skole,775 m,7.1,3.5,Villa,Energimærke C,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 45 dage,130 m²,Ejerudg.: 2.164 kr/md,,4 værelser,Opført 2025,-,,,8670,https://www.boligsiden.dk/addresses/37669230-5906-406e-bc0a-1bd234fa40e8,Grund: 589 m²,
"Rebæk Søpark 3, 14. 1403.,2650",1.295.000 kr.,Holmegårdsskolen,851 m,7.1,3.6,Ejerlejlighed,Energimærke C,Høj,"25,4%","29,7‰.","Der er 53.267 indbyggere i Hvidovre Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,7‰.",Til salg i alt: 45 dage,44 m²,Ejerudg.: 1.788 kr/md,Elevator: Ja,1 værelser,Opført 1972,1 toilet,Altan: Ja,Terrasse: Nej,2650,https://www.boligsiden.dk/addresses/0a3f50a5-881c-32b8-e044-0003ba298018,,
"Peter Andersens Vej 25,9990",3.245.000 kr.,Skagen Skole,494 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke B,Meget lav,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 282 dage,182 m²,Ejerudg.: 1.857 kr/md,,7 værelser,Opført 1954,2 toiletter,,,9990,https://www.boligsiden.dk/addresses/0a3f50c9-38ff-32b8-e044-0003ba298018,Grund: 769 m²,
"Præstebakken 14,2610",11.995.000 kr.,Rødovre Skole,332 m,7,3.8,Villa,Energimærke A2015,Høj,"25,7%","30,8‰.","Der er 41.382 indbyggere i Rødovre Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 30,8‰.",Til salg i alt: 236 dage,177 m²,Ejerudg.: 9.127 kr/md,,6 værelser,Opført 2021,3 toiletter,,,2610,https://www.boligsiden.dk/addresses/0a3f50a6-a18d-32b8-e044-0003ba298018,Grund: 710 m²,
"Rosenørns Alle 68, 5.,1970",8.000.000 kr.,Skolen ved Bulowsvej,91 m,8,3.7,Ejerlejlighed,Energimærke C,Lav,"23,47%","24,75‰.","Der er 103.608 indbyggere i Frederiksberg Kommune. Kommuneskatten er på 23,47% og grundskyldspromillen på 24,75‰.",Til salg i alt: 45 dage,126 m²,Ejerudg.: 8.423 kr/md,Elevator: Nej,4 værelser,Opført 1906,1 toilet,Altan: Nej,Terrasse: Nej,1970,https://www.boligsiden.dk/addresses/0a3f50a2-ba8d-32b8-e044-0003ba298018,,
"Skanderupvej 16, 2. mf.,2610",2.495.000 kr.,Valhøj Skole,187 m,7,3.7,Ejerlejlighed,Energimærke C,Høj,"25,7%","30,8‰.","Der er 41.382 indbyggere i Rødovre Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 30,8‰.",Til salg i alt: 262 dage,63 m²,Ejerudg.: 3.271 kr/md,Elevator: Nej,2 værelser,Opført 1967,1 toilet,Altan: Nej,Terrasse: Nej,2610,https://www.boligsiden.dk/addresses/0a3f50a6-b11e-32b8-e044-0003ba298018,,
"Borgergade 3,8660",5.499.000 kr.,Morten Børup Skolen,936 m,7.4,3.7,Villa,Energimærke C,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 45 dage,198 m²,Ejerudg.: 3.050 kr/md,,5 værelser,Opført 1779,2 toiletter,,,8660,https://www.boligsiden.dk/addresses/0a3f50c2-2302-32b8-e044-0003ba298018,Grund: 398 m²,
"Nørretorp 306,7400",2.445.000 kr.,Lindbjergskolen,"1,06 km",7.5,3.7,Rækkehus,Energimærke A2015,Ukendt,"24,9%","20,53‰.","Der er 89.230 indbyggere i Herning Kommune. Kommuneskatten er på 24,9% og grundskyldspromillen på 20,53‰.",Til salg i alt: 45 dage,121 m²,Ejerudg.: 1.772 kr/md,,4 værelser,Opført 2025,-,,,7400,https://www.boligsiden.dk/addresses/c2c270ae-a626-4712-837d-4b75e8942af6,Grund: 326 m²,
"Koldingbjerg 1,6000",2.695.000 kr.,Aalykkeskolen,541 m,7.2,3.8,Villa,Energimærke C,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 45 dage,145 m²,Ejerudg.: 2.418 kr/md,,5 værelser,Opført 1900,2 toiletter,,,6000,https://www.boligsiden.dk/addresses/0a3f50bc-173b-32b8-e044-0003ba298018,Grund: 259 m²,
"Hammervej 70,7900",1.975.000 kr.,Dueholmskolen,842 m,6.9,3.7,Villa,Energimærke D,Mellem,"25,8%","24,68‰.","Der er 20.068 indbyggere i Morsø Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 24,68‰.",Til salg i alt: 45 dage,164 m²,Ejerudg.: 1.968 kr/md,,6 værelser,Opført 1967,2 toiletter,,,7900,https://www.boligsiden.dk/addresses/0a3f50c5-47f7-32b8-e044-0003ba298018,Grund: 1286 m²,
"Nørretorp 304,7400",2.795.000 kr.,Lindbjergskolen,"1,07 km",7.5,3.7,Rækkehus,Energimærke A2015,Ukendt,"24,9%","20,53‰.","Der er 89.230 indbyggere i Herning Kommune. Kommuneskatten er på 24,9% og grundskyldspromillen på 20,53‰.",Til salg i alt: 45 dage,146 m²,Ejerudg.: 2.058 kr/md,,4 værelser,Opført 2025,-,,,7400,https://www.boligsiden.dk/addresses/e7109785-2459-4176-8081-0b10366e1f04,Grund: 694 m²,
"Emil Reesens Vej 3,7400",2.295.000 kr.,Brændgårdskolen,608 m,7.1,3.8,Rækkehus,Energimærke D,Mellem,"24,9%","20,53‰.","Der er 89.230 indbyggere i Herning Kommune. Kommuneskatten er på 24,9% og grundskyldspromillen på 20,53‰.",Til salg i alt: 45 dage,146 m²,Ejerudg.: 1.575 kr/md,,4 værelser,Opført 1967,2 toiletter,,,7400,https://www.boligsiden.dk/addresses/0a3f50bd-5df9-32b8-e044-0003ba298018,Grund: 619 m²,
"Montebello Alle 16A,3000",3.295.000 kr.,Helsingør Skole,670 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Lav,"25,52%","28,5‰.","Der er 62.875 indbyggere i Helsingør Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 28,5‰.",Til salg i alt: 45 dage,103 m²,Ejerudg.: 3.783 kr/md,,3 værelser,Opført 1951,2 toiletter,,,3000,https://www.boligsiden.dk/addresses/0a3f50a9-606c-32b8-e044-0003ba298018,Grund: 555 m²,
"Paradisvej 2D, 1. 1.,3700",1.495.000 kr.,Søndermarksskolen,937 m,6.8,3.5,Ejerlejlighed/Fritidsbolig,Energimærke A2010,Høj,"26,2%",34‰.,"Der er 39.545 indbyggere i Bornholm Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 34‰.",Til salg i alt: 45 dage,70 m²,Ejerudg.: 879 kr/md,Elevator: Nej,3 værelser,Opført 1793,1 toilet,Altan: Nej,Terrasse: Nej,3700,https://www.boligsiden.dk/addresses/931e99ee-f801-4301-86d2-6f5e4f93190d,,
