,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Rooms_imputed,Trivsel_imputed,Grades_imputed,Toilets_imputed
"Mellem Broerne 7C, 2. 1.,9400",3795000.0,Skansevejens Skole,0.371,7.0,3.8,Ejerlejlighed, C,Lav,25.4,26.95,"Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",1.0,109.0,109.0,4.211,1 toilet,2007,1.0,9400,https://www.boligsiden.dk/addresses/1f7a7527-9eeb-403c-e044-0003ba298018,1,1,0,0,0,0,0
"Søtofteparken 56,3660",3395000.0,Ganløse Skole,0.615,7.187917737789203,3.7284061696658095,Rækkehus, C,Høj,25.7,23.98,"Der er 44.375 indbyggere i Egedal Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,98‰.",0.0,130.0,226.0,3.589,2 toiletter,1972,2.0,3660,https://www.boligsiden.dk/addresses/0a3f50aa-abef-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Reventlowsgade 32, 2. tv.,1651",7000000.0,Gasværksvejens Skole,0.469,8.2,3.6,Ejerlejlighed, C,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",0.0,117.0,117.0,5.914,1 toilet,1889,1.0,1651,https://www.boligsiden.dk/addresses/0a3f50a0-48ee-32b8-e044-0003ba298018,0,1,0,0,0,0,0
"Dådyrvænget 605,2980",5995000.0,Kokkedal Skole,1.49,7.2,3.8,Villa, D,Høj,25.3,24.65,"Der er 41.211 indbyggere i Fredensborg Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 24,65‰.",0.0,157.0,701.0,4.264,2 toiletter,1975,2.0,2980,https://www.boligsiden.dk/addresses/0a3f50aa-5371-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Nybro Vænge 56,2800",7245000.0,Stengård Skole,1.29,8.1,3.8,Rækkehus, C,Lav,23.6,23.0,"Der er 69.259 indbyggere i Gladsaxe Kommune. Kommuneskatten er på 23,6% og grundskyldspromillen på 23‰.",0.0,89.0,268.0,5.008,1 toilet,1957,1.0,2800,https://www.boligsiden.dk/addresses/0a3f50a4-7714-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Steveltvej 17,6100",1845000.0,Starup-Øsby Skole og Børnehus,6.96,6.4,3.8,Villa, C,Høj,26.3,24.36,"Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",0.0,215.0,1562.0,1.706,2 toiletter,1908,2.0,6100,https://www.boligsiden.dk/addresses/0a3f50b6-df13-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Vestergade 183B,6792",695000.0,Skærbæk Distriktsskole,15.1,6.0,3.6,Ejerlejlighed,fejl,Meget lav,25.3,21.24,"Der er 36.849 indbyggere i Tønder Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 21,24‰.",1.0,71.0,71.0,3.63,-,1987,1.0979886539453327,6792,https://www.boligsiden.dk/addresses/0a3f50b7-7a59-32b8-e044-0003ba298018,0,0,0,0,0,0,1
"Bistrup Park 48,3460",1850000.0,Søholmskolen,1.26,7.9,3.7,Ejerlejlighed, D,Mellem,23.21,22.93,"Der er 57.247 indbyggere i Rudersdal Kommune. Kommuneskatten er på 23,21% og grundskyldspromillen på 22,93‰.",141.0,73.0,73.0,4.257,1 toilet,1960,1.0,3460,https://www.boligsiden.dk/addresses/0a3f50a7-e027-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Sjørslevvej 65,8620",495000.0,"Trekløverskolen, Silkeborg",4.16,6.8,3.7,Villa, F,Mellem,25.5,28.26,"Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",0.0,143.0,587.0,1.476,1 toilet,1929,1.0,8620,https://www.boligsiden.dk/addresses/0a3f50c5-2e33-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Skolegade 11,8881",1295000.0,Tungelundskolen,0.52,6.9,3.6,Villa, C,Mellem,25.7,23.32,"Der er 48.880 indbyggere i Favrskov Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,32‰.",0.0,110.0,760.0,1.317,2 toiletter,1956,2.0,8881,https://www.boligsiden.dk/addresses/0a3f50c5-0c6e-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Sønderdalvej 6,8831",695000.0,Løgstrup Skole,1.66,7.1,3.7,Villa, E,Høj,25.5,23.7,"Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",0.0,102.0,735.0,1.163,1 toilet,1887,1.0,8831,https://www.boligsiden.dk/addresses/0a3f50c6-9bcb-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Nygårdsvej 9,6700",1798000.0,Danmarksgades Skole,0.605,7.18298800436205,3.7237731733914936,Ejerlejlighed, C,Meget lav,25.8,25.29,"Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",0.0,91.0,91.0,2.008,1 toilet,1906,1.0,6700,https://www.boligsiden.dk/addresses/4e0933d8-470e-4258-bd67-6bac3aae6aae,0,0,0,0,1,1,0
"Urtehaven 34,2500",7698000.0,Harrestrup Å Skole,0.38,7.013960916948516,3.7173431040962046,Villa, B,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",62.0,177.0,697.0,5.205,1 toilet,1951,1.0,2500,https://www.boligsiden.dk/addresses/0a3f50a1-5e24-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Sønderbrogade 95, 1. th.,8700",1595000.0,Dagnæsskolen,1.56,7.0,3.8,Ejerlejlighed, D,Høj,25.39,22.56,"Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",0.0,94.0,94.0,2.597,1 toilet,1935,1.0,8700,https://www.boligsiden.dk/addresses/0a3f50bb-967f-32b8-e044-0003ba298018,0,1,0,0,0,0,0
"Møllevangsvej 79,8940",1795000.0,Søndermarkskolen,2.96,6.8,3.8,Villa, C,Høj,25.8,27.93,"Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",0.0,162.0,735.0,1.756,1 toilet,1825,1.0,8940,https://www.boligsiden.dk/addresses/0a3f50c1-1637-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Villingebæk Strandvej 635,3120",4950000.0,"Gilbjergskolen, Gilleleje",5.44,6.8,3.7,Villa, C,Lav,25.4,29.34,"Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",1.0,190.0,786.0,3.873,2 toiletter,1946,2.0,3120,https://www.boligsiden.dk/addresses/0a3f50a8-e5d3-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Kalmargade 6A,8200",5095000.0,Katrinebjergskolen,0.586,6.8,3.7,Rækkehus, A2015,Høj,24.52,24.58,"Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",0.0,124.0,138.0,3.865,2 toiletter,2022,2.0,8200,https://www.boligsiden.dk/addresses/afb23c73-db14-4546-b7b9-c20bcb5a46d6,0,0,0,0,0,0,0
"Hasseløvej 4,4873",2395000.0,Sydfalster Skole,1.08,6.2,3.6,Villa, C,Høj,25.8,32.34,"Der er 60.310 indbyggere i Guldborgsund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,34‰.",458.0,117.0,35253.0,2.526,1 toilet,1900,1.0,4873,https://www.boligsiden.dk/addresses/0a3f50b1-883d-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Toldertoften 1,5600",1100000.0,Øhavsskolen,3.04,6.6,3.7,Villa, C,Høj,26.1,22.85,"Der er 51.849 indbyggere i Faaborg-Midtfyn Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,85‰.",297.0,102.0,720.0,1.349,1 toilet,1965,1.0,5600,https://www.boligsiden.dk/addresses/0a3f50b2-bd1a-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Tyttebærhaven 9,2670",3695000.0,Damagerskolen,0.5,7.187917737789203,3.7284061696658095,Rækkehus, C,Høj,24.42,16.94,"Der er 50.818 indbyggere i Greve Kommune. Kommuneskatten er på 24,42% og grundskyldspromillen på 16,94‰.",0.0,140.0,284.0,3.125,2 toiletter,1976,2.0,2670,https://www.boligsiden.dk/addresses/0a3f50ab-290d-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Randkløvevej 23,3760",5500000.0,Hans Rømer Skolen,13.39,6.6,3.6,Villa, C,Meget høj,26.2,34.0,"Der er 39.545 indbyggere i Bornholm Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 34‰.",0.0,190.0,6058.0,2.009,1 toilet,1931,1.0,3760,https://www.boligsiden.dk/addresses/0a3f50b2-15e5-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Nansensgade 15, 2. tv.,5000",1495000.0,Ejerslykkeskolen,0.828,6.3,3.7,Ejerlejlighed, E,Mellem,25.5,21.71,"Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",0.0,54.0,54.0,2.307,1 toilet,1937,1.0,5000,https://www.boligsiden.dk/addresses/0a3f50b4-63fe-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Rødevej 2,7500",1495000.0,Rolf Krake Skolen,1.15,7.4,3.8,Villa, D,Lav,25.5,24.12,"Der er 58.553 indbyggere i Holstebro Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 24,12‰.",255.0,151.0,700.0,1.74,1 toilet,1920,1.0,7500,https://www.boligsiden.dk/addresses/0a3f50be-2076-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Kirkegade 122,6700",4498000.0,Boldesager Skole,0.572,7.013960916948516,3.7173431040962046,Villa, D,Meget lav,25.8,25.29,"Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",0.0,157.0,1032.0,3.549,2 toiletter,1910,2.0,6700,https://www.boligsiden.dk/addresses/0a3f50b9-020f-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Kastanie Alle 18,6640",1445000.0,Kongsbjergskolen,3.56,7.2,3.8,Villa, C,Mellem,25.5,25.0,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",124.0,193.0,668.0,1.62,1 toilet,1917,1.0,6640,https://www.boligsiden.dk/addresses/0a3f50bc-6178-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Bakkedraget 6,7490",1295000.0,Aulum-Hodsager Skole,0.994,7.4,3.8,Villa, C,Lav,24.9,20.53,"Der er 89.230 indbyggere i Herning Kommune. Kommuneskatten er på 24,9% og grundskyldspromillen på 20,53‰.",0.0,112.0,894.0,1.223,1 toilet,1980,1.0,7490,https://www.boligsiden.dk/addresses/0a3f50bd-13cf-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Svalevej 20,6640",1195000.0,Kongsbjergskolen,0.809,7.2,3.8,Villa, C,Mellem,25.5,25.0,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",0.0,145.0,684.0,1.382,2 toiletter,1963,2.0,6640,https://www.boligsiden.dk/addresses/0a3f50bc-658e-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Rendebæksvej 42,2765",8495000.0,Ung Egedal - Hovedadresse,0.778,7.013960916948516,3.7173431040962046,Villa, D,Høj,25.7,23.98,"Der er 44.375 indbyggere i Egedal Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,98‰.",1.0,227.0,1399.0,5.589,3 toiletter,1942,3.0,2765,https://www.boligsiden.dk/addresses/0a3f50a6-0641-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Sprogøvej 5,6710",2675000.0,Fourfeldtskolen,0.402,7.013960916948516,3.7173431040962046,Villa, D,Meget lav,25.8,25.29,"Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",0.0,161.0,650.0,2.289,2 toiletter,1968,2.0,6710,https://www.boligsiden.dk/addresses/0a3f50b9-3e01-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Oldenborggade 8, 3. th.,2300",5495000.0,Lergravsparkens Skole,0.124,6.9,3.7,Ejerlejlighed, A2015,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",0.0,92.0,92.0,4.48,1 toilet,2020,1.0,2300,https://www.boligsiden.dk/addresses/b428e9fc-9109-4ba0-a062-e039ab870972,1,1,0,0,0,0,0
"Østergade 130, 1.,8700",1575000.0,Langmarkskolen,0.611,6.9,3.8,Ejerlejlighed, D,Høj,25.39,22.56,"Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",56.0,79.0,79.0,2.803,1 toilet,1936,1.0,8700,https://www.boligsiden.dk/addresses/64ad9bbf-c8f7-4a36-e044-0003ba298018,0,0,0,0,0,0,0
"Saxovej 142,5210",1595000.0,Tarup Skole,0.883,7.6,3.7,Rækkehus, C,Mellem,25.5,21.71,"Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",0.0,78.0,129.0,1.759,1 toilet,1951,1.0,5210,https://www.boligsiden.dk/addresses/0a3f50b4-a622-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Stationsvej 20,7330",1695000.0,Dalgasskolen,0.407,7.013960916948516,3.7173431040962046,Villa, C,Lav,25.1,20.35,"Der er 41.885 indbyggere i Ikast-Brande Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 20,35‰.",0.0,170.0,947.0,1.801,2 toiletter,1935,2.0,7330,https://www.boligsiden.dk/addresses/0a3f50bd-2be3-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Nordlundvej 124,7330",1650000.0,Artium Skole,1.45,7.013960916948516,3.7173431040962046,Villa, C,Lav,25.1,20.35,"Der er 41.885 indbyggere i Ikast-Brande Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 20,35‰.",0.0,150.0,833.0,1.432,1 toilet,1973,1.0,7330,https://www.boligsiden.dk/addresses/0a3f50bd-283a-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Gammel Strandvej 229A,3060",29800000.0,Tibberupskolen,1.16,7.013960916948516,3.7173431040962046,Villa, C,Lav,25.52,28.5,"Der er 62.875 indbyggere i Helsingør Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 28,5‰.",0.0,212.0,1249.0,12.031,2 toiletter,1902,2.0,3060,https://www.boligsiden.dk/addresses/0a3f50a9-8c2e-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Ørnevang 28, st. 4.,3450",1095000.0,Lillevang Skole,0.334,8.0,3.8,Ejerlejlighed, D,Høj,25.3,23.8,"Der er 25.867 indbyggere i Allerød Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 23,8‰.",0.0,47.0,47.0,2.781,1 toilet,1965,1.0,3450,https://www.boligsiden.dk/addresses/0a3f50a7-d923-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Flakholmen 9, 2. tv.,2720",2795000.0,Damhusengens Skole,0.613,7.5,3.7,Ejerlejlighed, D,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",0.0,61.0,61.0,3.6,1 toilet,1938,1.0,2720,https://www.boligsiden.dk/addresses/0a3f509e-0ab7-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Bakkedraget 14,4450",1595000.0,Jyderup Skole,3.37,6.6,3.6,Villa, D,Meget høj,25.3,25.09,"Der er 72.810 indbyggere i Holbæk Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 25,09‰.",2.0,163.0,825.0,1.695,1 toilet,1938,1.0,4450,https://www.boligsiden.dk/addresses/0a3f50ae-fc5a-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Søndre Badevej 6C, 1. 3.,4600",6495000.0,Sct. Nicolai Skole,1.14,7.5,3.9,Ejerlejlighed, A2015,Mellem,25.26,21.04,"Der er 61.718 indbyggere i Køge Kommune. Kommuneskatten er på 25,26% og grundskyldspromillen på 21,04‰.",1.0,141.0,141.0,6.153,2 toiletter,2018,2.0,4600,https://www.boligsiden.dk/addresses/2cdfa4f0-16be-4af9-8cdb-958f0771f87a,0,0,0,0,0,0,0
"Feldborgvej 10,2770",4395000.0,Løjtegårdsskolen,0.243,7.3,3.7,Rækkehus, C,Mellem,23.1,24.0,"Der er 42.723 indbyggere i Tårnby Kommune. Kommuneskatten er på 23,1% og grundskyldspromillen på 24‰.",2.0,96.0,236.0,4.094,1 toilet,1951,1.0,2770,https://www.boligsiden.dk/addresses/0a3f50a7-3979-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Parmagade 38, 5.,2300",3145000.0,Sundbyøster Skole,0.232,5.4,3.7,Ejerlejlighed, C,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",183.0,70.0,70.0,3.582,1 toilet,2020,1.0,2300,https://www.boligsiden.dk/addresses/66f35637-406d-4515-a645-11f93192f511,0,1,0,0,0,0,0
"Elkærholmparken 34,6040",4250000.0,Bramdrup Skole,4.87,6.7,3.8,Villa, A2015,Mellem,25.5,25.0,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",3.0,180.0,1085.0,2.611,2 toiletter,2015,2.0,6040,https://www.boligsiden.dk/addresses/1c26151f-acea-4dad-aeeb-ad13098a0e1a,0,0,0,0,0,0,0
"Enrumvej 2,2942",12500000.0,Vedbæk Skole,1.69,8.0,3.9,Villa, D,Mellem,23.21,22.93,"Der er 57.247 indbyggere i Rudersdal Kommune. Kommuneskatten er på 23,21% og grundskyldspromillen på 22,93‰.",3.0,165.0,1312.0,9.598,3 toiletter,1972,3.0,2942,https://www.boligsiden.dk/addresses/0a3f50a6-cea5-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Prins Christians Vænge 61,8660",4198000.0,Niels Ebbesen Skolen,0.775,7.7,3.7,Rækkehus, A2015,Mellem,26.0,24.66,"Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",2.0,149.0,299.0,3.617,2 toiletter,2015,2.0,8660,https://www.boligsiden.dk/addresses/4bb6f3d4-5dee-4672-839f-df2a3aad3a52,0,0,0,0,0,0,0
"Jegstrupvej 30A,8800",1995000.0,Vestre Skole,0.385,7.0,3.8,Villa, C,Høj,25.5,23.7,"Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",342.0,146.0,518.0,1.921,3 toiletter,1926,3.0,8800,https://www.boligsiden.dk/addresses/0a3f50c6-718f-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Blegerstræde 9,2791",7995000.0,Dragør Skole,0.227,8.1,3.8,Villa, E,Mellem,24.8,24.47,"Der er 14.640 indbyggere i Dragør Kommune. Kommuneskatten er på 24,8% og grundskyldspromillen på 24,47‰.",228.0,158.0,368.0,5.286,2 toiletter,1860,2.0,2791,https://www.boligsiden.dk/addresses/0a3f50a3-81e1-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Fjordblik 8,7900",595000.0,Sydmors skole og Børnehus,6.98,5.9,3.9,Villa, C,Mellem,25.8,24.68,"Der er 20.068 indbyggere i Morsø Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 24,68‰.",2.0,149.0,868.0,900.0,1 toilet,1980,1.0,7900,https://www.boligsiden.dk/addresses/0a3f50c5-40cd-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Tømmergården 5,4070",1595000.0,Kirke Hyllinge Skole,2.98,6.9,3.6,Rækkehus, C,Høj,25.31,28.23,"Der er 28.623 indbyggere i Lejre Kommune. Kommuneskatten er på 25,31% og grundskyldspromillen på 28,23‰.",271.0,76.0,136.0,1.36,1 toilet,1983,1.0,4070,https://www.boligsiden.dk/addresses/0a3f50aa-da81-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"M S Schouwsvej 13,6792",1995000.0,Skærbæk Distriktsskole,14.3,6.0,3.6,Villa,fejl,Meget lav,25.3,21.24,"Der er 36.849 indbyggere i Tønder Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 21,24‰.",2.0,76.0,3377.0,1.713,1 toilet,1969,1.0,6792,https://www.boligsiden.dk/addresses/0a3f50b7-6fea-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Olymposvej 45,2300",9295000.0,Gerbrandskolen,0.728,6.7,3.8,Villa, C,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",2.0,164.0,542.0,6.437,2 toiletter,1937,2.0,2300,https://www.boligsiden.dk/addresses/0a3f50a0-08ac-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Søkrogen 3,2635",5495000.0,Strandgårdskolen,0.905,5.7,3.7,Villa, D,Mellem,25.0,25.0,Der er 23.225 indbyggere i Ishøj Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,3.0,153.0,734.0,3.722,2 toiletter,1993,2.0,2635,https://www.boligsiden.dk/addresses/0a3f50a7-183b-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Valhøjvej 13K,2500",14000000.0,Valby Skole,0.67,6.6,3.7,Ejerlejlighed, B,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",1.0,197.0,197.0,8.884,3 toiletter,1900,3.0,2500,https://www.boligsiden.dk/addresses/1ba9fd95-1d75-4ffe-a307-07bf1196352c,0,1,1,0,0,0,0
"Tingvej 4,8382",3995000.0,Rønbækskolen,2.95,8.0,3.8,Landejendom, D,Høj,25.7,23.32,"Der er 48.880 indbyggere i Favrskov Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,32‰.",2.0,130.0,52481.0,4.878,1 toilet,1933,1.0,8382,https://www.boligsiden.dk/addresses/0a3f50c0-2804-32b8-e044-0003ba298018,0,0,0,0,0,0,0
